"Time"	"0 L-SI2"	"1 R-Si2"	"2 L-Si3"	"3 R-Si3"
3458.9699	-38.535839	-42.695187	-44.540787	-35.212646
3458.9705	-38.775192	-42.695187	-44.32642	-35.212646
3458.971	-39.014545	-42.695187	-44.516968	-35.013107
3458.9716	-38.775192	-42.471096	-44.540787	-35.177433
3458.9722	-38.775192	-42.459301	-44.540787	-35.013107
3458.9727	-38.775192	-42.683392	-44.540787	-34.977894
3458.9733	-38.775192	-42.471096	-44.32642	-34.977894
3458.9738	-38.775192	-42.459301	-44.302601	-34.778358
3458.9744	-38.775192	-42.459301	-44.302601	-34.743145
3458.975	-38.535839	-42.459301	-44.302601	-34.743145
3458.9755	-38.775192	-42.459301	-44.516968	-34.743145
3458.9761	-38.775192	-42.683392	-44.540787	-34.743145
3458.9766	-39.014545	-42.695187	-44.540787	-34.743145
3458.9772	-39.014545	-42.695187	-44.540787	-34.743145
3458.9778	-39.014545	-42.471096	-44.540787	-34.543606
3458.9783	-39.014545	-42.459301	-44.755154	-34.508392
3458.9789	-39.253899	-42.683392	-44.778973	-34.508392
3458.9794	-39.014545	-42.695187	-44.564606	-34.508392
3458.98	-39.253899	-42.471096	-44.540787	-34.308857
3458.9806	-39.253899	-42.459301	-44.540787	-34.273643
3458.9811	-39.014545	-42.459301	-44.540787	-34.273643
3458.9817	-39.014545	-42.459301	-44.540787	-34.273643
3458.9822	-39.253899	-42.459301	-44.755154	-34.273643
3458.9828	-39.014545	-42.459301	-44.564606	-34.074104
3458.9834	-39.014545	-42.459301	-44.540787	-34.038891
3458.9839	-39.014545	-42.459301	-44.540787	-33.839352
3458.9845	-38.775192	-42.23521	-44.540787	-33.804138
3458.985	-38.775192	-42.223415	-44.540787	-33.604603
3458.9856	-38.535839	-41.999325	-44.32642	-33.569389
3458.9862	-38.775192	-41.98753	-44.302601	-33.569389
3458.9867	-38.535839	-41.98753	-44.516968	-33.569389
3458.9873	-38.535839	-41.98753	-44.540787	-33.36985
3458.9878	-38.296486	-41.98753	-44.540787	-33.534176
3458.9884	-38.535839	-41.98753	-44.540787	-33.36985
3458.989	-38.535839	-41.98753	-44.540787	-33.135101
3458.9895	-38.296486	-41.98753	-44.32642	-33.099888
3458.9901	-38.296486	-41.98753	-44.302601	-33.099888
3458.9906	-38.057133	-41.98753	-44.302601	-32.900349
3458.9912	-38.296486	-41.98753	-44.302601	-32.865135
3458.9918	-38.057133	-41.98753	-44.516968	-32.865135
3458.9923	-38.296486	-41.98753	-44.540787	-32.865135
3458.9929	-38.296486	-41.98753	-44.540787	-32.865135
3458.9934	-38.296486	-41.98753	-44.540787	-32.6656
3458.994	-38.296486	-41.98753	-44.540787	-32.630386
3458.9946	-38.296486	-41.98753	-44.540787	-32.430847
3458.9951	-38.535839	-41.98753	-44.540787	-32.395634
3458.9957	-38.296486	-41.98753	-44.540787	-32.395634
3458.9962	-38.296486	-41.763443	-44.540787	-32.196098
3458.9968	-38.296486	-41.751648	-44.540787	-32.160885
3458.9974	-38.057133	-41.975735	-44.540787	-31.961346
3458.9979	-38.296486	-41.763443	-44.540787	-31.926132
3458.9985	-38.296486	-41.751648	-44.540787	-31.926132
3458.999	-38.296486	-41.751648	-44.540787	-31.926132
3458.9996	-38.296486	-41.751648	-44.540787	-31.726595
3459.0002	-38.296486	-41.751648	-44.540787	-31.491844
3459.0007	-38.057133	-41.751648	-44.755154	-31.456631
3459.0013	-37.81778	-41.527557	-44.564606	-31.257093
3459.0018	-38.057133	-41.291672	-44.32642	-31.022341
3459.0024	-37.81778	-41.279877	-44.302601	-30.987127
3459.003	-38.057133	-41.279877	-44.516968	-30.987127
3459.0035	-37.81778	-41.279877	-44.32642	-30.78759
3459.0041	-38.057133	-41.279877	-44.516968	-30.752377
3459.0046	-38.057133	-41.279877	-44.540787	-30.552839
3459.0052	-37.81778	-41.279877	-44.540787	-30.318089
3459.0058	-37.81778	-41.055786	-44.540787	-30.282875
3459.0063	-37.81778	-41.043991	-44.32642	-29.883799
3459.0069	-37.81778	-41.043991	-44.302601	-29.613836
3459.0074	-37.81778	-41.043991	-44.302601	-29.379086
3459.008	-37.81778	-41.043991	-44.302601	-29.343872
3459.0086	-37.81778	-41.043991	-44.516968	-29.144335
3459.0091	-37.81778	-40.819901	-44.755154	-28.710043
3459.0097	-37.81778	-41.256287	-44.564606	-28.440081
3459.0102	-38.057133	-41.279877	-44.540787	-28.005791
3459.0108	-38.057133	-41.279877	-44.755154	-27.536289
3459.0114	-38.057133	-41.055786	-44.564606	-27.066786
3459.0119	-38.057133	-41.043991	-44.540787	-26.397747
3459.0125	-37.81778	-41.043991	-44.540787	-25.493956
3459.013	-37.81778	-41.043991	-44.755154	-24.155874
3459.0136	-37.81778	-41.043991	-44.778973	-21.749678
3459.0142	-37.81778	-41.043991	-44.564606	-14.777575
3459.0147	-37.81778	-40.819901	-44.540787	1.7488947
3459.0153	-37.578426	-40.808105	-44.540787	17.031183
3459.0158	-37.578426	-40.808105	-44.755154	26.432961
3459.0164	-37.81778	-40.808105	-44.778973	29.49646
3459.017	-38.057133	-41.032196	-44.564606	27.019836
3459.0175	-38.057133	-41.043991	-44.755154	20.54071
3459.0181	-37.578426	-40.819901	-44.778973	12.700027
3459.0186	-37.578426	-40.584015	-44.778973	4.9180331
3459.0192	-37.339073	-40.57222	-44.564606	-2.6292107
3459.0198	-37.578426	-40.79631	-44.540787	-9.1435499
3459.0203	-37.339073	-40.584015	-44.540787	-15.08275
3459.0209	-37.339073	-40.57222	-44.540787	-19.953833
3459.0214	-37.578426	-40.57222	-44.540787	-24.050236
3459.022	-37.339073	-40.57222	-44.540787	-27.242851
3459.0226	-37.339073	-40.348133	-44.540787	-29.895536
3459.0231	-37.339073	-40.336338	-44.32642	-31.879183
3459.0237	-37.339073	-40.336338	-44.302601	-33.557652
3459.0242	-37.09972	-40.112247	-44.302601	-34.80183
3459.0248	-37.09972	-40.324543	-44.302601	-35.975586
3459.0254	-37.09972	-40.336338	-44.302601	-36.750267
3459.0259	-36.860367	-40.336338	-44.516968	-37.454517
3459.0265	-37.09972	-40.336338	-44.540787	-37.959229
3459.027	-36.621014	-40.336338	-44.540787	-38.428734
3459.0276	-36.38166	-40.560425	-44.540787	-38.698696
3459.0282	-36.142307	-40.348133	-44.540787	-38.933449
