"Time"	"0 L-SI2"	"1 R-Si2"	"2 L-Si3"	"3 R-Si3"
3855.4079	-61.438168	-48.097839	-40.839687	-55.124859
3855.4084	-61.552048	-47.968124	-40.801716	-54.80777
3855.4089	-61.504101	-47.866611	-40.914013	-54.790398
3855.4095	-61.605991	-47.927036	-41.059429	-54.790802
3855.41	-61.528072	-47.838818	-41.03196	-54.949146
3855.4105	-61.372238	-47.750195	-40.970158	-54.94915
3855.411	-61.498104	-47.906494	-41.046097	-54.942684
3855.4116	-61.594006	-47.790878	-40.909164	-54.930969
3855.4121	-61.653942	-47.763889	-40.747589	-54.873611
3855.4126	-61.809776	-47.579796	-40.930172	-54.858261
3855.4131	-61.86372	-47.535889	-40.797272	-54.936626
3855.4137	-61.45615	-47.397312	-40.828781	-54.868767
3855.4142	-62.007565	-47.522995	-40.716892	-54.722134
3855.4147	-61.743847	-47.608398	-40.728203	-54.683758
3855.4152	-61.68391	-47.49762	-40.649837	-54.664776
3855.4158	-61.528072	-47.573349	-40.665188	-54.482597
3855.4163	-61.588009	-47.535484	-40.731834	-54.520569
3855.4168	-61.797787	-47.537903	-40.8615	-54.326275
3855.4173	-61.827755	-47.419067	-40.705582	-54.221653
3855.4179	-61.827755	-47.164879	-40.840496	-54.356571
3855.4184	-61.875706	-47.160046	-41.134968	-54.377975
3855.4189	-61.701889	-47.107273	-40.977428	-54.497543
3855.4194	-61.833752	-47.428329	-40.909164	-54.404236
3855.42	-61.68391	-47.500034	-40.892605	-54.442204
3855.4205	-61.629967	-47.587048	-40.737087	-54.456745
3855.421	-61.348267	-47.301437	-40.685787	-54.186108
3855.4215	-61.767818	-47.334068	-40.511688	-54.166718
3855.4221	-61.599998	-47.17334	-40.380814	-54.21196
3855.4226	-61.546055	-47.356224	-40.544006	-54.164295
3855.4231	-62.013561	-47.508896	-40.748398	-54.126728
3855.4236	-61.85173	-47.276062	-40.432518	-54.192165
3855.4242	-61.713879	-47.33165	-40.296795	-54.044323
3855.4247	-61.809776	-47.251892	-40.455544	-54.084316
3855.4252	-61.713879	-47.321178	-40.462814	-53.946571
3855.4257	-61.755833	-47.286938	-40.480988	-53.772476
3855.4263	-61.791794	-47.447266	-40.430901	-54.167931
3855.4268	-61.827755	-47.452099	-40.59288	-54.281841
3855.4273	-61.450157	-47.302246	-40.485836	-54.039074
3855.4278	-61.791794	-47.248264	-40.493111	-53.964748
3855.4284	-61.731857	-47.379589	-40.507244	-53.90416
3855.4289	-61.911667	-47.363876	-40.396568	-53.917084
3855.4294	-61.881699	-47.185425	-40.515324	-53.901333
3855.4299	-61.971603	-47.33165	-40.605404	-53.90012
3855.4305	-61.671921	-47.379185	-40.7589	-53.656948
3855.431	-61.923656	-47.24625	-40.752842	-53.871441
3855.4315	-61.827755	-47.083908	-40.511688	-53.774899
3855.432	-61.899681	-47.413025	-40.546829	-53.874268
3855.4326	-61.73785	-47.199924	-40.639332	-53.82539
3855.4331	-61.815769	-47.122177	-40.592072	-53.702595
3855.4336	-61.665928	-47.247459	-40.647411	-53.722385
3855.4341	-61.731857	-47.157627	-40.715675	-53.520821
3855.4347	-61.659935	-47.04121	-40.808182	-53.506279
3855.4352	-61.989586	-47.130638	-40.909973	-53.755104
3855.4357	-61.857723	-46.994884	-40.835648	-53.716328
3855.4362	-61.971603	-47.154808	-40.907551	-53.576561
3855.4368	-62.019554	-46.968296	-40.970966	-53.804386
3855.4373	-62.03154	-47.129028	-41.055389	-53.770454
3855.4378	-62.007565	-47.232151	-40.871597	-53.416199
3855.4383	-61.725864	-47.201538	-40.598942	-53.306328
3855.4389	-61.785801	-47.10083	-40.652664	-53.492546
3855.4394	-61.761826	-47.070618	-40.564201	-53.370552
