3353.887	-36.38166	-45.054035	-39.538879	-23.979811
3353.8876	-36.38166	-45.278126	-39.538879	-27.641926
3353.8882	-36.38166	-45.06583	-39.75325	-30.365038
3353.8887	-36.38166	-45.278126	-39.562698	-32.548222
3353.8893	-36.38166	-45.289921	-39.538879	-34.062366
3353.8898	-36.38166	-45.289921	-39.324512	-35.470871
3353.8904	-36.142307	-45.289921	-39.51506	-36.280766
3353.891	-35.902954	-45.06583	-39.538879	-36.785477
3353.8915	-35.663601	-45.054035	-39.324512	-37.454517
3353.8921	-35.424248	-45.054035	-39.300694	-37.759693
3353.8926	-35.184895	-45.054035	-39.51506	-38.193981
3353.8932	-34.945541	-45.054035	-39.75325	-38.663483
3353.8938	-34.466835	-45.054035	-39.777069	-38.73391
3353.8943	-33.988129	-45.054035	-39.562698	-38.933449
3353.8949	-33.270073	-45.054035	-39.538879	-38.968662
3353.8954	-32.791367	-45.054035	-39.538879	-38.968662
3353.896	-32.552013	-45.054035	-39.75325	-39.168198
3353.8966	-31.833954	-45.054035	-39.777069	-39.203411
3353.8971	-31.355247	-45.054035	-39.777069	-39.203411
3353.8977	-30.876541	-45.054035	-39.777069	-39.40295
3353.8982	-30.397835	-45.054035	-39.777069	-39.438164
3353.8988	-30.397835	-45.278126	-39.777069	-39.438164
3353.8994	-30.158482	-45.514011	-39.991436	-39.438164
3353.8999	-29.679775	-45.525806	-40.015255	-39.438164
3353.9005	-29.201069	-45.525806	-40.015255	-39.438164
3353.901	-28.722364	-45.525806	-40.015255	-39.438164
3353.9016	-28.483011	-45.525806	-40.015255	-39.438164
3353.9022	-28.004305	-45.301716	-40.015255	-39.238625
3353.9027	-27.764952	-45.289921	-40.015255	-39.40295
3353.9033	-27.286245	-45.514011	-40.015255	-39.438164
3353.9038	-27.286245	-45.301716	-40.229622	-39.438164
3353.9044	-27.046892	-45.514011	-40.253441	-39.438164
3353.905	-26.807539	-45.301716	-40.253441	-39.238625
3353.9055	-26.328833	-45.289921	-40.253441	-39.203411
3353.9061	-26.089479	-45.514011	-40.253441	-39.203411
3353.9066	-25.850128	-45.301716	-40.253441	-39.203411
3353.9072	-25.371422	-45.06583	-40.253441	-39.003876
3353.9078	-24.892715	-45.054035	-40.253441	-38.968662
3353.9083	-24.892715	-45.054035	-40.253441	-38.968662
3353.9089	-24.653362	-45.054035	-40.253441	-38.968662
3353.9094	-24.414009	-45.054035	-40.253441	-38.968662
3353.91	-24.174656	-45.054035	-40.467808	-38.968662
3353.9106	-23.935303	-45.054035	-40.491627	-38.968662
3353.9111	-23.69595	-45.054035	-40.27726	-38.968662
3353.9117	-23.456596	-45.054035	-40.467808	-38.769123
