"Time"	"0 L-SI2"	"1 R-Si2"	"2 L-Si3"	"3 R-Si3"
3309.0126	28.722364	-46.021168	-45.064796	-38.769123
3309.0131	48.109959	-46.221668	-45.445892	-38.73391
3309.0137	46.913193	-46.45755	-45.707901	-38.73391
3309.0142	37.09972	-46.469345	-45.73172	-38.534374
3309.0148	23.69595	-46.469345	-45.946087	-38.499161
3309.0154	11.249593	-46.469345	-45.969906	-38.499161
3309.0159	1.4361181	-46.469345	-45.969906	-38.499161
3309.0165	-6.462532	-46.693436	-45.755539	-38.299622
3309.017	-12.685711	-46.705231	-45.73172	-38.264408
3309.0176	-18.430183	-46.705231	-45.946087	-38.264408
3309.0182	-22.499186	-46.705231	-45.969906	-37.865334
3309.0187	-25.610775	-46.48114	-45.755539	-37.395832
3309.0193	-28.004305	-46.469345	-45.73172	-37.125866
3309.0198	-29.679775	-46.245258	-45.73172	-36.691578
3309.0204	-31.115894	-46.009373	-45.517349	-36.222076
3309.021	-32.552013	-45.997578	-45.49353	-36.151649
3309.0215	-33.509426	-45.997578	-45.49353	-35.95211
3309.0221	-34.466835	-45.997578	-45.49353	-35.916897
3309.0226	-35.184895	-46.221668	-45.707901	-35.916897
3309.0232	-35.663601	-46.009373	-45.73172	-35.916897
3309.0238	-36.142307	-46.221668	-45.517349	-35.717361
3309.0243	-36.621014	-46.009373	-45.49353	-35.682148
3309.0249	-36.860367	-45.997578	-45.49353	-35.482609
3309.0254	-37.339073	-45.997578	-45.49353	-35.447395
3309.026	-37.578426	-45.997578	-45.279163	-35.24786
3309.0266	-38.057133	-45.997578	-45.469711	-35.212646
3309.0271	-38.057133	-45.997578	-45.49353	-35.212646
3309.0277	-38.535839	-46.221668	-45.49353	-35.212646
3309.0282	-38.775192	-46.233463	-45.707901	-35.212646
3309.0288	-39.253899	-46.45755	-45.517349	-35.013107
3309.0294	-39.253899	-46.469345	-45.49353	-34.977894
3309.0299	-39.253899	-46.469345	-45.49353	-34.778358
3309.0305	-39.493252	-46.469345	-45.49353	-34.543606
3309.031	-39.732605	-46.469345	-45.49353	-34.508392
3309.0316	-39.732605	-46.469345	-45.49353	-34.508392
3309.0322	-39.971954	-46.469345	-45.49353	-34.308857
3309.0327	-39.971954	-46.469345	-45.49353	-34.273643
3309.0333	-39.971954	-46.693436	-45.49353	-34.074104
3309.0338	-40.211308	-46.705231	-45.49353	-34.038891
3309.0344	-40.450661	-46.705231	-45.49353	-34.038891
3309.035	-40.450661	-46.705231	-45.49353	-33.839352
3309.0355	-40.690014	-46.929321	-45.279163	-33.804138
3309.0361	-40.450661	-46.717026	-45.255344	-33.604603
3309.0366	-40.450661	-46.705231	-45.255344	-33.36985
3309.0372	-40.211308	-46.48114	-45.255344	-33.135101
3309.0378	-40.450661	-46.693436	-45.255344	-32.900349
3309.0383	-40.211308	-46.705231	-45.040977	-32.865135
3309.0389	-40.450661	-46.929321	-45.231525	-32.865135
3309.0394	-40.211308	-46.941116	-45.255344	-32.6656
3309.04	-40.450661	-46.941116	-45.255344	-32.430847
3309.0406	-40.450661	-46.941116	-45.255344	-32.196098
3309.0411	-40.450661	-46.941116	-45.255344	-32.160885
3309.0417	-40.690014	-46.941116	-45.040977	-31.761806
3309.0422	-40.450661	-47.165207	-45.017159	-31.491844
3309.0428	-40.690014	-47.177002	-45.017159	-31.456631
3309.0434	-40.450661	-47.177002	-45.231525	-31.456631
3309.0439	-40.690014	-47.177002	-45.040977	-31.057552
3309.0445	-40.690014	-47.177002	-45.231525	-30.78759
3309.045	-40.929367	-47.401093	-45.255344	-30.552839
3309.0456	-41.16872	-47.412888	-45.255344	-30.318089
3309.0462	-40.929367	-47.412888	-45.255344	-29.684261
3309.0467	-40.929367	-47.412888	-45.255344	-29.179546
3309.0473	-40.929367	-47.412888	-45.255344	-28.710043
3309.0478	-41.16872	-47.412888	-45.255344	-28.041004
3309.0484	-40.929367	-47.412888	-45.255344	-26.937674
3309.049	-40.929367	-47.636978	-45.255344	-25.364843
3309.0495	-40.929367	-47.424683	-45.255344	-21.127586
3309.0501	-40.929367	-47.188797	-45.040977	-6.4556513
3309.0506	-40.929367	-47.401093	-45.231525	12.371378
3309.0512	-40.929367	-47.412888	-45.255344	25.03619
3309.0518	-40.929367	-47.636978	-45.255344	29.555147
3309.0523	-41.16872	-47.648773	-45.255344	25.857821
3309.0529	-40.690014	-47.648773	-45.255344	16.937283
3309.0534	-40.690014	-47.424683	-45.255344	6.5143394
3309.054	-40.690014	-47.412888	-45.255344	-3.8499155
3309.0546	-40.450661	-47.412888	-45.255344	-12.78219
3309.0551	-40.450661	-47.412888	-45.040977	-20.071209
3309.0557	-40.450661	-47.412888	-45.231525	-26.116045
3309.0562	-40.690014	-47.412888	-45.255344	-30.388512
3309.0568	-40.450661	-47.412888	-45.040977	-33.581127
3309.0574	-40.450661	-47.412888	-45.017159	-35.834736
3309.0579	-40.450661	-47.412888	-45.017159	-37.548416
3309.0585	-40.690014	-47.412888	-45.017159	-38.792599
3309.059	-40.450661	-47.188797	-45.017159	-39.766815
3309.0596	-40.211308	-47.401093	-45.017159	-40.30674
3309.0602	-39.971954	-47.412888	-45.231525	-40.776241
3309.0607	-39.732605	-47.412888	-45.040977	-41.245743
3309.0613	-39.732605	-47.412888	-45.017159	-41.515709
3309.0618	-39.253899	-47.636978	-45.231525	-41.750458
3309.0624	-39.253899	-47.648773	-45.255344	-41.785671
3309.063	-38.535839	-47.648773	-45.255344	-41.785671
3309.0635	-38.057133	-47.648773	-45.469711	-41.785671
3309.0641	-37.578426	-47.648773	-45.279163	-41.98521
3309.0646	-36.860367	-47.648773	-45.255344	-41.820885
3309.0652	-36.38166	-47.424683	-45.255344	-41.98521
3309.0658	-35.902954	-47.412888	-45.040977	-41.820885
3309.0663	-35.424248	-47.412888	-45.231525	-41.785671
3309.0669	-34.945541	-47.412888	-45.255344	-41.785671
3309.0674	-34.706188	-47.636978	-45.469711	-41.98521
3309.068	-34.227482	-47.648773	-45.49353	-42.020424
3309.0686	-33.988129	-47.424683	-45.49353	-41.820885
3309.0691	-33.748775	-47.412888	-45.49353	-41.586136
3309.0697	-33.03072	-47.188797	-45.279163	-41.550922
3309.0702	-32.791367	-47.177002	-45.255344	-41.550922
3309.0708	-32.31266	-47.177002	-45.255344	-41.550922
3309.0714	-32.073307	-47.177002	-45.255344	-41.550922
