"Time"	"Si1"
0.13285844	-41.625
0.13341844	-41.71875
0.13397844	-41.71875
0.13453844	-41.8125
0.13509844	-41.71875
0.13565844	-41.53125
0.13621844	-41.71875
0.13677844	-41.71875
0.13733844	-41.71875
0.13789844	-41.71875
0.13845844	-41.71875
0.13901844	-41.8125
0.13957844	-41.8125
0.14013844	-41.71875
0.14069844	-41.625
0.14125844	-41.71875
0.14181844	-41.71875
0.14237844	-41.71875
0.14293844	-41.8125
0.14349844	-41.8125
0.14405844	-41.71875
0.14461844	-41.625
0.14517844	-41.625
0.14573844	-41.71875
0.14629844	-41.71875
0.14685844	-41.71875
0.14741844	-41.625
0.14797844	-41.625
0.14853844	-41.625
0.14909844	-41.71875
0.14965844	-41.71875
0.15021844	-41.8125
0.15077844	-41.71875
0.15133844	-41.71875
0.15189844	-41.71875
0.15245844	-41.625
0.15301844	-41.71875
0.15357844	-41.625
0.15413844	-41.8125
0.15469844	-41.625
0.15525844	-41.8125
0.15581844	-41.8125
0.15637844	-41.8125
0.15693844	-41.625
0.15749844	-41.71875
0.15805844	-41.8125
0.15861844	-41.71875
0.15917844	-41.8125
0.15973844	-41.90625
0.16029844	-41.8125
0.16085844	-41.90625
0.16141844	-41.90625
0.16197844	-41.8125
0.16253844	-41.90625
0.16309844	-41.90625
0.16365844	-41.8125
0.16421844	-41.8125
0.16477844	-41.71875
0.16533844	-41.8125
0.16589844	-41.8125
0.16645844	-41.8125
0.16701844	-41.90625
0.16757844	-41.71875
0.16813844	-41.71875
0.16869844	-41.71875
0.16925844	-41.71875
0.16981844	-41.53125
0.17037844	-41.625
0.17093844	-41.625
0.17149844	-41.625
0.17205844	-41.71875
0.17261844	-41.71875
0.17317844	-41.625
0.17373844	-41.71875
0.17429844	-41.71875
0.17485844	-41.53125
0.17541844	-41.625
0.17597844	-41.71875
0.17653844	-41.8125
0.17709844	-41.71875
0.17765844	-41.71875
0.17821844	-41.8125
0.17877844	-41.71875
0.17933844	-41.8125
0.17989844	-41.71875
0.18045844	-41.8125
0.18101844	-41.625
0.18157844	-41.625
0.18213844	-41.53125
0.18269844	-41.625
0.18325844	-41.53125
0.18381844	-41.53125
0.18437844	-41.625
0.18493844	-41.4375
0.18549844	-41.25
0.18605844	-41.34375
0.18661844	-41.34375
0.18717844	-41.34375
0.18773844	-41.34375
0.18829844	-41.34375
0.18885844	-41.34375
0.18941844	-41.4375
0.18997844	-41.25
0.19053844	-41.15625
0.19109844	-41.25
0.19165844	-41.15625
0.19221844	-41.0625
0.19277844	-41.15625
0.19333844	-41.15625
0.19389844	-41.25
0.19445844	-41.34375
0.19501844	-41.34375
0.19557844	-41.15625
0.19613844	-41.25
0.19669844	-41.0625
0.19725844	-41.25
0.19781844	-41.15625
0.19837844	-41.15625
0.19893844	-41.15625
0.19949844	-41.15625
0.20005844	-41.25
0.20061844	-41.25
0.20117844	-41.15625
0.20173844	-41.15625
0.20229844	-41.0625
0.20285844	-41.0625
0.20341844	-40.96875
0.20397844	-40.96875
0.20453844	-41.15625
0.20509844	-41.25
0.20565844	-41.25
0.20621844	-41.25
0.20677844	-41.15625
0.20733844	-41.25
0.20789844	-41.15625
0.20845844	-41.15625
0.20901844	-41.15625
0.20957844	-41.0625
0.21013844	-40.96875
0.21069844	-41.0625
0.21125844	-41.15625
0.21181844	-41.15625
0.21237844	-41.15625
0.21293844	-41.0625
0.21349844	-40.96875
0.21405844	-40.96875
0.21461844	-41.0625
0.21517844	-41.0625
0.21573844	-41.0625
0.21629844	-41.0625
0.21685844	-41.0625
0.21741844	-41.15625
0.21797844	-41.0625
0.21853844	-40.96875
0.21909844	-41.0625
0.21965844	-41.15625
0.22021844	-41.0625
0.22077844	-41.15625
0.22133844	-41.25
0.22189844	-41.4375
0.22245844	-41.34375
0.22301844	-41.25
0.22357844	-41.25
0.22413844	-41.15625
0.22469844	-41.15625
0.22525844	-41.25
0.22581844	-41.34375
0.22637844	-41.25
0.22693844	-41.4375
0.22749844	-41.25
0.22805844	-41.53125
0.22861844	-41.4375
0.22917844	-41.4375
0.22973844	-41.4375
0.23029844	-41.4375
0.23085844	-41.4375
0.23141844	-41.4375
0.23197844	-41.53125
0.23253844	-41.625
0.23309844	-41.53125
0.23365844	-41.625
0.23421844	-41.71875
0.23477844	-41.625
0.23533844	-41.625
0.23589844	-41.53125
0.23645844	-41.34375
0.23701844	-41.4375
0.23757844	-41.625
0.23813844	-41.625
0.23869844	-41.71875
0.23925844	-41.8125
0.23981844	-41.71875
0.24037844	-41.625
0.24093844	-41.71875
0.24149844	-41.625
0.24205844	-41.53125
0.24261844	-41.71875
0.24317844	-41.71875
0.24373844	-41.8125
0.24429844	-41.8125
0.24485844	-42
0.24541844	-41.90625
0.24597844	-41.8125
0.24653844	-41.8125
0.24709844	-41.8125
0.24765844	-41.8125
0.24821844	-41.8125
0.24877844	-41.8125
0.24933844	-41.90625
0.24989844	-41.90625
0.25045844	-41.90625
0.25101844	-41.90625
0.25157844	-41.8125
0.25213844	-41.90625
0.25269844	-41.90625
0.25325844	-41.8125
0.25381844	-41.90625
0.25437844	-41.90625
0.25493844	-42
0.25549844	-41.90625
0.25605844	-42
0.25661844	-42.09375
0.25717844	-42
0.25773844	-42
0.25829844	-41.90625
0.25885844	-41.90625
0.25941844	-42
0.25997844	-42.09375
0.26053844	-42.09375
0.26109844	-42.09375
0.26165844	-42.09375
0.26221844	-42.09375
0.26277844	-42.09375
0.26333844	-42
0.26389844	-42.09375
0.26445844	-42
0.26501844	-42
0.26557844	-42.09375
0.26613844	-42
0.26669844	-42.28125
0.26725844	-42.1875
0.26781844	-42.09375
0.26837844	-42.09375
0.26893844	-42.09375
0.26949844	-42
0.27005844	-42
0.27061844	-42.09375
0.27117844	-42.09375
0.27173844	-42.1875
0.27229844	-42.28125
0.27285844	-42.375
0.27341844	-42.28125
0.27397844	-42.28125
0.27453844	-42.09375
0.27509844	-41.90625
0.27565844	-42
0.27621844	-42.09375
0.27677844	-42.09375
0.27733844	-42.09375
0.27789844	-42.1875
0.27845844	-42.1875
0.27901844	-42.1875
0.27957844	-42.1875
0.28013844	-42.1875
0.28069844	-42.09375
0.28125844	-42.09375
0.28181844	-42.09375
0.28237844	-42.1875
0.28293844	-42.1875
0.28349844	-42.28125
0.28405844	-42.28125
0.28461844	-42.28125
0.28517844	-42.09375
0.28573844	-42.28125
0.28629844	-42.28125
0.28685844	-42.09375
0.28741844	-42.09375
0.28797844	-42.1875
0.28853844	-42.1875
0.28909844	-42.28125
0.28965844	-42.28125
0.29021844	-42.28125
0.29077844	-42.1875
0.29133844	-42.28125
0.29189844	-42.1875
0.29245844	-42.09375
0.29301844	-42.1875
0.29357844	-42.28125
0.29413844	-42.28125
0.29469844	-42.1875
0.29525844	-42.28125
0.29581844	-42.28125
0.29637844	-42.28125
0.29693844	-42.28125
0.29749844	-42.09375
0.29805844	-42.1875
0.29861844	-42.1875
0.29917844	-42.28125
0.29973844	-42.09375
0.30029844	-42.1875
0.30085844	-42.09375
0.30141844	-42
0.30197844	-42
0.30253844	-42.09375
0.30309844	-41.90625
0.30365844	-42
0.30421844	-42
0.30477844	-42.1875
0.30533844	-42.09375
0.30589844	-42.09375
0.30645844	-42.09375
0.30701844	-42.09375
0.30757844	-42
0.30813844	-42.09375
0.30869844	-42.09375
0.30925844	-42.09375
0.30981844	-42.09375
0.31037844	-42.1875
0.31093844	-42.1875
0.31149844	-42.28125
0.31205844	-42.1875
