"Time"	"0 Si2"
5.4439788e-005	-50.756836
0.00061443979	-50.756836
0.0011744398	-50.853516
0.0017344398	-50.853516
0.0022944398	-50.756836
0.0028544398	-50.756836
0.0034144398	-50.660156
0.0039744398	-50.756836
0.0045344398	-50.853516
0.0050944398	-50.660156
0.0056544398	-50.853516
0.0062144398	-50.853516
0.0067744398	-50.756836
0.0073344398	-50.756836
0.0078944398	-50.756836
0.0084544398	-50.660156
0.0090144398	-50.660156
0.0095744398	-50.660156
0.01013444	-50.660156
0.01069444	-50.660156
0.01125444	-50.563477
0.01181444	-50.756836
0.01237444	-50.756836
0.01293444	-50.756836
0.01349444	-50.853516
0.01405444	-50.466797
0.01461444	-50.756836
0.01517444	-50.660156
0.01573444	-50.660156
0.01629444	-50.853516
0.01685444	-50.853516
0.01741444	-50.950195
0.01797444	-51.046875
0.01853444	-50.950195
0.01909444	-50.950195
0.01965444	-51.046875
0.02021444	-50.950195
0.02077444	-50.950195
0.02133444	-50.853516
0.02189444	-51.046875
0.02245444	-51.046875
0.02301444	-50.950195
0.02357444	-51.046875
0.02413444	-50.950195
0.02469444	-50.950195
0.02525444	-50.853516
0.02581444	-50.853516
0.02637444	-50.853516
0.02693444	-50.950195
0.02749444	-50.950195
0.02805444	-50.853516
0.02861444	-50.950195
0.02917444	-51.046875
0.02973444	-50.853516
0.03029444	-50.950195
0.03085444	-50.853516
0.03141444	-50.853516
0.03197444	-50.950195
0.03253444	-50.853516
0.03309444	-50.853516
0.03365444	-50.950195
0.03421444	-51.143555
0.03477444	-51.143555
0.03533444	-51.046875
0.03589444	-51.046875
0.03645444	-50.853516
0.03701444	-50.950195
0.03757444	-51.046875
0.03813444	-51.143555
0.03869444	-51.046875
0.03925444	-51.046875
0.03981444	-51.143555
0.04037444	-51.046875
0.04093444	-51.046875
0.04149444	-50.950195
0.04205444	-50.950195
0.04261444	-50.853516
0.04317444	-50.853516
0.04373444	-50.950195
0.04429444	-51.046875
0.04485444	-51.143555
0.04541444	-50.950195
0.04597444	-50.950195
0.04653444	-50.853516
0.04709444	-51.046875
0.04765444	-50.950195
0.04821444	-51.046875
0.04877444	-51.046875
0.04933444	-51.046875
0.04989444	-51.046875
0.05045444	-51.143555
0.05101444	-51.240234
0.05157444	-51.143555
0.05213444	-51.046875
0.05269444	-51.046875
0.05325444	-50.950195
0.05381444	-50.950195
0.05437444	-50.950195
0.05493444	-51.046875
0.05549444	-51.046875
0.05605444	-51.143555
0.05661444	-51.143555
0.05717444	-51.143555
0.05773444	-51.046875
0.05829444	-51.046875
0.05885444	-50.853516
0.05941444	-50.950195
0.05997444	-50.950195
0.06053444	-50.950195
0.06109444	-50.950195
0.06165444	-50.950195
0.06221444	-51.046875
0.06277444	-50.950195
0.06333444	-50.853516
0.06389444	-50.950195
0.06445444	-50.756836
0.06501444	-50.853516
0.06557444	-51.046875
0.06613444	-50.853516
0.06669444	-50.950195
0.06725444	-51.143555
0.06781444	-51.143555
0.06837444	-51.046875
0.06893444	-51.143555
0.06949444	-51.046875
0.07005444	-51.046875
0.07061444	-51.046875
0.07117444	-51.046875
0.07173444	-51.143555
0.07229444	-51.143555
0.07285444	-51.143555
0.07341444	-51.046875
0.07397444	-51.046875
0.07453444	-51.046875
0.07509444	-51.046875
0.07565444	-50.853516
0.07621444	-50.950195
0.07677444	-50.853516
0.07733444	-50.950195
0.07789444	-50.853516
0.07845444	-51.046875
0.07901444	-50.950195
0.07957444	-50.950195
0.08013444	-50.950195
0.08069444	-50.756836
0.08125444	-50.950195
0.08181444	-51.046875
0.08237444	-51.046875
0.08293444	-51.046875
0.08349444	-50.950195
0.08405444	-51.240234
0.08461444	-51.143555
0.08517444	-51.143555
0.08573444	-51.046875
0.08629444	-51.336914
0.08685444	-51.046875
0.08741444	-51.143555
0.08797444	-51.046875
0.08853444	-51.143555
0.08909444	-51.240234
0.08965444	-51.143555
0.09021444	-51.046875
0.09077444	-51.143555
0.09133444	-51.143555
0.09189444	-50.950195
0.09245444	-50.950195
0.09301444	-50.853516
0.09357444	-50.950195
0.09413444	-51.046875
0.09469444	-50.853516
0.09525444	-51.046875
0.09581444	-51.143555
