"Time"	"0 L-SI2"	"1 R-Si2"	"2 L-Si3"	"3 R-Si3"
4493.7307	-58.185154	-45.137035	-46.539547	-49.368046
4493.7312	-58.187572	-44.974007	-46.593269	-49.477112
4493.7317	-58.247997	-45.17979	-46.982262	-49.47105
4493.7323	-58.289085	-45.005173	-46.815437	-49.452873
4493.7328	-57.980919	-44.672726	-46.701931	-49.416519
4493.7333	-57.984543	-44.767426	-46.55328	-49.507408
4493.7338	-58.092102	-45.167404	-46.574284	-49.852776
4493.7343	-57.968834	-45.033146	-46.585999	-49.767948
4493.7349	-57.971252	-45.111061	-46.791603	-49.47105
4493.7354	-57.908409	-44.843346	-46.665573	-49.701298
4493.7359	-57.875778	-45.008369	-46.68335	-49.719475
4493.7364	-57.9785	-45.189381	-46.72657	-49.731594
4493.737	-58.024426	-44.921661	-46.684963	-49.707355
4493.7375	-57.908409	-44.963219	-46.672443	-49.495289
4493.738	-57.776684	-45.079494	-46.582363	-49.664944
4493.7386	-57.814148	-44.841347	-46.726166	-49.677059
4493.7391	-58.008713	-45.170601	-46.687386	-49.737652
4493.7396	-57.734386	-44.85973	-46.756458	-49.640705
4493.7401	-57.847984	-44.958824	-46.60054	-49.780064
4493.7406	-57.905991	-45.107464	-46.669209	-49.689178
4493.7412	-57.748886	-45.173397	-46.88855	-49.774006
4493.7417	-57.887863	-45.059917	-46.893799	-49.907307
4493.7422	-57.898743	-45.157814	-46.690216	-49.767948
4493.7427	-57.899948	-45.115059	-46.62801	-49.477112
4493.7433	-57.887863	-45.172997	-46.560146	-49.501347
4493.7438	-57.850403	-44.970413	-46.802513	-49.543762
4493.7443	-57.924118	-45.207359	-46.673248	-49.446815
4493.7449	-57.654625	-45.275684	-46.642147	-49.416519
4493.7454	-57.611118	-45.15062	-46.363022	-49.368046
4493.7459	-57.806896	-45.202965	-46.435734	-49.440758
4493.7464	-57.675171	-45.073101	-46.632046	-49.386223
4493.7469	-57.717468	-45.041134	-46.633259	-49.258984
4493.7475	-57.647373	-44.966816	-46.613464	-49.368046
4493.748	-57.779099	-45.274887	-46.821091	-49.398342
4493.7485	-57.967625	-45.168598	-46.748383	-49.380165
4493.749	-57.932579	-45.427925	-46.816242	-49.368046
4493.7496	-57.919285	-45.083492	-46.587616	-49.204453
4493.7501	-57.993004	-45.124645	-46.62397	-49.452873
4493.7506	-57.909618	-45.235729	-46.871582	-49.592232
4493.7512	-57.811729	-45.232132	-46.850174	-49.374107
4493.7517	-57.846775	-45.427128	-46.76252	-49.495289
4493.7522	-57.744053	-45.334824	-46.65588	-49.543762
4493.7527	-57.826233	-45.439114	-46.6991	-49.325634
4493.7532	-57.699341	-45.240128	-46.912785	-49.343811
4493.7538	-57.926537	-45.068707	-46.923286	-49.28928
4493.7543	-57.818981	-45.337223	-46.825535	-49.271103
4493.7548	-57.625622	-45.222942	-46.937019	-49.380165
4493.7553	-57.728344	-45.314049	-46.846134	-49.252926
4493.7559	-57.695713	-45.393959	-46.755653	-49.325634
4493.7564	-57.770641	-45.443909	-46.697083	-49.464993
4493.7569	-57.667919	-45.542202	-46.758076	-49.62859
4493.7574	-57.825024	-45.269291	-46.931366	-49.61647
4493.758	-57.934998	-45.540207	-47.00367	-49.337753
4493.7585	-57.873363	-45.454697	-46.732628	-49.28928
4493.759	-57.82019	-45.480671	-46.689812	-49.28928
4493.7595	-57.884239	-45.063511	-46.721317	-49.374107
4493.7601	-57.936203	-45.436317	-46.699909	-49.319576
4493.7606	-57.959167	-45.274887	-46.638107	-49.131744
4493.7611	-57.972458	-45.20536	-46.445427	-49.168098
4493.7616	-57.689671	-45.223743	-46.63245	-49.046917
4493.7622	-57.864902	-45.152618	-46.16671	-48.865143
4493.7627	-57.94104	-45.494255	-46.236996	-49.107506
4493.7632	-57.896324	-45.2617	-46.480164	-48.913616
4493.7637	-57.840733	-45.483868	-46.445831	-49.252926
4493.7643	-57.849194	-45.249317	-46.566608	-48.853027
4493.7648	-57.91687	-45.438313	-46.04068	-49.192333
4493.7653	-58.000256	-45.352406	-46.282238	-48.943913
4493.7658	-57.997837	-45.222141	-46.484608	-49.046917
4493.7664	-57.944664	-45.101471	-46.497536	-49.034798
4493.7669	-58.106602	-45.445908	-46.648205	-49.113567
4493.7674	-57.903576	-45.308853	-46.65588	-49.228687
4493.7679	-57.962791	-45.364391	-46.637703	-49.271103
4493.7685	-57.881821	-45.206963	-46.593269	-48.901497
4493.769	-57.984543	-45.352005	-46.649822	-49.02874
4493.7695	-57.95433	-45.452698	-46.554493	-49.016621
4493.77	-58.001465	-45.632511	-46.569839	-49.252926
4493.7706	-57.838318	-45.337223	-46.45916	-49.137802
4493.7711	-57.846775	-45.494255	-46.577919	-49.052975
4493.7716	-57.918076	-45.344814	-46.451893	-48.968147
4493.7721	-57.869736	-45.322037	-46.376759	-48.992386
4493.7727	-57.91687	-45.427528	-46.384434	-49.040855
4493.7732	-57.990585	-45.535812	-46.791199	-49.149921
4493.7737	-57.879406	-45.716419	-46.774639	-49.101448
4493.7742	-57.876987	-45.566582	-46.583981	-48.998444
4493.7748	-57.884239	-45.49905	-46.666786	-49.113567
4493.7753	-58.067932	-45.511837	-46.536716	-49.155979
4493.7758	-57.857651	-45.401154	-46.388069	-49.059032
4493.7763	-57.812939	-45.130241	-46.394936	-48.877262
4493.7769	-57.759766	-45.29047	-46.446236	-48.992386
4493.7774	-57.764599	-45.52702	-46.369488	-48.919674
4493.7779	-57.846775	-45.268894	-46.225281	-48.731842
4493.7784	-57.827438	-45.22694	-46.299606	-48.737904
4493.779	-58.044968	-45.298061	-46.350906	-48.798492
4493.7795	-58.179111	-45.308849	-46.330307	-48.822731
4493.78	-57.884239	-45.141426	-46.215988	-48.94997
