"Time"	"0 Si2"
8.2439788e-005	-41.370605
0.00064243979	-41.370605
0.0012024398	-41.464844
0.0017624398	-41.464844
0.0023224398	-41.370605
0.0028824398	-41.464844
0.0034424398	-41.464844
0.0040024398	-41.370605
0.0045624398	-41.464844
0.0051224398	-41.559082
0.0056824398	-41.841797
0.0062424398	-41.559082
0.0068024398	-41.559082
0.0073624398	-41.65332
0.0079224398	-41.65332
0.0084824398	-41.559082
0.0090424398	-41.559082
0.0096024398	-41.559082
0.01016244	-41.559082
0.01072244	-41.747559
0.01128244	-41.65332
0.01184244	-41.841797
0.01240244	-41.936035
0.01296244	-41.936035
0.01352244	-41.936035
0.01408244	-41.841797
0.01464244	-42.030273
0.01520244	-42.030273
0.01576244	-42.21875
0.01632244	-42.030273
0.01688244	-42.312988
0.01744244	-42.21875
0.01800244	-42.407227
0.01856244	-42.312988
0.01912244	-42.312988
0.01968244	-42.407227
0.02024244	-42.407227
0.02080244	-42.407227
0.02136244	-42.595703
0.02192244	-42.595703
0.02248244	-42.407227
0.02304244	-42.501465
0.02360244	-42.501465
0.02416244	-42.595703
0.02472244	-42.501465
0.02528244	-42.312988
0.02584244	-42.407227
0.02640244	-42.407227
0.02696244	-42.501465
0.02752244	-42.501465
0.02808244	-42.689941
0.02864244	-42.595703
0.02920244	-42.595703
0.02976244	-42.595703
0.03032244	-42.595703
0.03088244	-42.595703
0.03144244	-42.595703
0.03200244	-42.595703
0.03256244	-42.689941
0.03312244	-42.689941
0.03368244	-42.878418
0.03424244	-42.972656
0.03480244	-42.878418
0.03536244	-42.78418
0.03592244	-42.878418
0.03648244	-42.78418
0.03704244	-42.972656
0.03760244	-42.878418
0.03816244	-42.878418
0.03872244	-42.878418
0.03928244	-42.878418
0.03984244	-42.878418
0.04040244	-42.972656
0.04096244	-42.972656
0.04152244	-42.878418
0.04208244	-42.689941
0.04264244	-42.689941
0.04320244	-42.689941
0.04376244	-42.78418
0.04432244	-42.972656
0.04488244	-42.878418
0.04544244	-42.878418
0.04600244	-42.878418
0.04656244	-42.78418
0.04712244	-42.972656
0.04768244	-42.972656
0.04824244	-42.878418
0.04880244	-42.78418
0.04936244	-42.972656
0.04992244	-42.972656
0.05048244	-43.066895
0.05104244	-43.161133
0.05160244	-43.161133
0.05216244	-42.972656
0.05272244	-42.972656
0.05328244	-43.066895
