"Time"	"0 L-SI2"	"1 R-Si2"	"2 L-Si3"	"3 R-Si3"
3713.3833	-57.71611	-41.736717	-39.528503	-58.995399
3713.3838	-57.692139	-42.34177	-39.514767	-58.629032
3713.3844	-57.901917	-42.784485	-39.240898	-58.641552
3713.3849	-57.907909	-43.367382	-39.203331	-58.780106
3713.3854	-58.207592	-43.742016	-39.129814	-58.716282
3713.3859	-58.081726	-44.143234	-38.836151	-58.682751
3713.3865	-57.955856	-44.417969	-39.132641	-58.714668
3713.387	-58.0098	-44.268517	-38.771927	-58.745365
3713.3875	-57.776047	-44.821606	-38.775562	-58.702141
3713.388	-58.045761	-45.18335	-38.57238	-58.608429
3713.3886	-58.057751	-45.31427	-38.332439	-58.494518
3713.3891	-58.069736	-45.794041	-38.215298	-58.69043
3713.3896	-58.117687	-45.897167	-38.161572	-58.835041
3713.3901	-58.093712	-46.210972	-38.18177	-58.810398
3713.3907	-58.267529	-46.138062	-37.903458	-58.960663
3713.3912	-58.40538	-46.428501	-37.789951	-58.78495
3713.3917	-58.267529	-46.826904	-37.53466	-58.669827
3713.3922	-58.141663	-46.854698	-37.34602	-58.719109
3713.3928	-58.141663	-47.102036	-37.075783	-58.796661
3713.3933	-57.973839	-47.177368	-36.998634	-58.632263
3713.3938	-58.183617	-47.444847	-36.768795	-58.772831
3713.3943	-58.093712	-47.312317	-36.458569	-58.314362
3713.3949	-58.41737	-47.505676	-36.141071	-58.348694
3713.3954	-58.285507	-47.775169	-35.947182	-58.494923
3713.3959	-58.53125	-47.837608	-35.607063	-58.544609
3713.3964	-58.285507	-47.852112	-35.573536	-58.717087
3713.397	-58.555222	-48.094616	-35.222919	-58.486034
3713.3975	-58.279514	-48.189281	-34.658615	-58.253773
3713.398	-58.555222	-48.166721	-34.491791	-58.639938
3713.3985	-58.764999	-48.381836	-34.091888	-58.515926
3713.3991	-58.71106	-48.143356	-33.443161	-58.640747
3713.3996	-58.794968	-48.410435	-32.867954	-58.678715
3713.4001	-58.705063	-48.510338	-32.193375	-58.595905
3713.4006	-58.71106	-48.460789	-31.176662	-58.669022
3713.4012	-58.998753	-48.530479	-29.171913	-58.499367
3713.4017	-58.741028	-48.422119	-24.475723	-58.396362
3713.4022	-58.639133	-48.660191	-12.618906	-58.514309
3713.4027	-58.753014	-48.710144	1.8998668	-58.585403
3713.4033	-58.555222	-49.125462	14.385212	-58.561569
3713.4038	-58.675095	-48.916794	22.828341	-58.582172
3713.4043	-58.980774	-48.958691	27.171896	-58.589443
3713.4048	-59.184555	-48.819714	28.029055	-58.499363
3713.4054	-59.310425	-49.241478	26.421782	-58.549454
3713.4059	-59.813889	-49.268066	22.923265	-58.830593
3713.4064	-59.574142	-49.26162	18.160828	-58.748596
3713.4069	-59.454269	-49.162121	12.788442	-58.769604
3713.4075	-59.789917	-49.23584	7.2068148	-58.698105
3713.408	-59.688023	-49.479954	1.8808818	-58.562782
3713.4085	-59.646069	-49.473511	-3.1538117	-58.525215
3713.409	-59.436291	-49.540379	-7.6718674	-58.506233
3713.4096	-59.849854	-49.514999	-12.11479	-58.510677
3713.4101	-59.873825	-49.519836	-15.898081	-58.34708
3713.4106	-59.688023	-49.558105	-19.577156	-58.244884
3713.4111	-59.777927	-49.548035	-22.491575	-57.97263
3713.4117	-59.68203	-49.660828	-25.136566	-58.117641
3713.4122	-59.885815	-49.589523	-27.562218	-58.389496
3713.4127	-59.747959	-49.460617	-29.814581	-58.396767
3713.4132	-60.023666	-49.552868	-31.598778	-58.288509
3713.4138	-60.083603	-49.485996	-33.071133	-58.037663
3713.4143	-59.951744	-49.551659	-34.365761	-58.20126
3713.4148	-59.867832	-49.788925	-35.545666	-58.525219
3713.4153	-60.209473	-49.577438	-36.698101	-58.213783
3713.4159	-60.269409	-49.502914	-37.759251	-58.444431
3713.4164	-60.131554	-49.329697	-38.476646	-58.309917
3713.4169	-60.161522	-49.387707	-38.961777	-58.68922
3713.4174	-60.221458	-49.034019	-39.297852	-58.349506
3713.418	-60.185497	-48.563915	-39.846806	-58.351524
3713.4185	-60.245434	-48.269848	-40.429691	-58.212166
3713.419	-60.329346	-47.658348	-40.769402	-58.399998
3713.4195	-60.227451	-47.292175	-41.040848	-58.267101
3713.4201	-60.263412	-46.668186	-41.447212	-58.414944
3713.4206	-60.311363	-46.290733	-41.60717	-58.437561
3713.4211	-60.095592	-45.586582	-41.795811	-58.460991
3713.4216	-60.209473	-44.877598	-41.935574	-58.57571
3713.4222	-60.3713	-44.380905	-42.39566	-59.041855
3713.4227	-60.407261	-43.9104	-42.50634	-58.882298
3713.4232	-60.119568	-43.135349	-42.551174	-58.874222
3713.4237	-60.269409	-42.706333	-42.559658	-59.049934
3713.4243	-60.293381	-42.180637	-42.749912	-58.74577
3713.4248	-59.8978	-41.452721	-42.650143	-58.841904
3713.4253	-60.353317	-41.132065	-42.768898	-58.89563
3713.4258	-60.353317	-40.626915	-42.932495	-58.955414
3713.4264	-60.401268	-40.015015	-43.004395	-58.993385
