mode,control_gain,phase,interval_start_s,frequency_hz,driver_frequency_hz
presynaptic,0.3533467394426889,pre,216.6343269777181,0.013254724653092744,3.6715587289066898
presynaptic,0.3533467394426889,pre,292.07912316717864,0.013654375200445655,3.686681304120327
presynaptic,0.3533467394426889,pre,365.31572208291385,0.013466346195705645,3.6897788576233466
presynaptic,0.3533467394426889,pre,439.57491499738796,0.013498005331136285,3.684955455400206
presynaptic,0.3533467394426889,pre,513.6599353739371,0.01318996848285108,3.6800012067154513
presynaptic,0.3533467394426889,pre,589.4751279045446,0.013453394554608734,3.6862301079627935
presynaptic,0.3533467394426889,pre,663.8058104650609,0.013260483698227448,3.6731539844090033
presynaptic,0.3533467394426889,pre,739.2178408824484,0.01323768574957762,3.6933143241321558
presynaptic,0.3533467394426889,pre,814.7597459342364,0.013270369108489596,3.675892243051618
presynaptic,0.4016087331226659,pre,187.1157876576898,0.015424491700016545,3.686453516303954
presynaptic,0.4016087331226659,pre,251.94774578302156,0.015088065122440316,3.681487889875437
presynaptic,0.4016087331226659,pre,318.2252964089604,0.015445100164721,3.6759338392035983
presynaptic,0.4016087331226659,pre,382.97074896899977,0.016557985982879442,3.692430874182116
presynaptic,0.4016087331226659,pre,443.3645674583967,0.015432586910705703,3.6729556847479574
presynaptic,0.4016087331226659,pre,508.16251778170204,0.015369026241711034,3.6885662980106484
presynaptic,0.4016087331226659,pre,573.228448717914,0.015137761868038902,3.678476133933453
presynaptic,0.4016087331226659,pre,639.2884124508189,0.01541077077755894,3.6831742158365866
presynaptic,0.4016087331226659,pre,704.1780934689931,0.015073738798053184,3.69306600552303
presynaptic,0.4498707268026429,pre,167.0209727451441,0.016594398487655846,3.683956464259598
presynaptic,0.4498707268026429,pre,227.28227120340847,0.01659162389452819,3.6833405045852587
presynaptic,0.4498707268026429,pre,287.5536470709505,0.01659119990912117,3.6832463798249
presynaptic,0.4498707268026429,pre,347.82656316367024,0.016591059182147594,3.683215138436766
presynaptic,0.4498707268026429,pre,408.0999904971117,0.016590996797368533,3.6832012890158143
presynaptic,0.4498707268026429,pre,468.3736444681985,0.01659099577420335,3.6832010618731443
presynaptic,0.4498707268026429,pre,528.647302156356,0.01659101630563377,3.6832056198506966
presynaptic,0.4498707268026429,pre,588.9208852556886,0.01659110035881681,3.6832242796573325
presynaptic,0.4498707268026429,pre,649.1941629993545,0.01659132832043172,3.6832748871358416
presynaptic,0.4981327204826199,pre,150.23215429181434,0.018871556464585763,3.6799535105942236
presynaptic,0.4981327204826199,pre,203.2219541462457,0.018823523351586574,3.689410576910969
presynaptic,0.4981327204826199,pre,256.34697124968363,0.018895424435396838,3.6846077649023834
presynaptic,0.4981327204826199,pre,309.2698364342676,0.018799276714693582,3.6846582360799425
presynaptic,0.4981327204826199,pre,362.4633722908038,0.019778033738801295,3.6787142754170405
presynaptic,0.4981327204826199,pre,413.0245156889042,0.018848830551620694,3.675521957566035
