mode,control_gain,onset_failed,n_pre_intervals,mean_pre_frequency_hz,mean_pre_driver_frequency_hz,n_post_intervals,mean_post_frequency_hz
presynaptic,0.835966676242459,false,9,0.027031057687868457,3.682720053028388,0,0.0
presynaptic,0.8842286699224361,false,9,0.027419891422579334,3.682781675110128,0,0.0
presynaptic,0.9324906636024131,false,9,0.027361046179218543,3.6846478029241427,0,0.0
presynaptic,0.9807526572823901,false,9,0.027547979604303545,3.6815964083198316,0,0.0
presynaptic,1.0290146509623672,false,9,0.028637735225833762,3.683208047969905,0,0.0
presynaptic,1.077276644642344,false,9,0.02860696820124944,3.6828881372166626,0,0.0
presynaptic,1.1255386383223211,false,9,0.02936621211635201,3.6829900319740383,0,0.0
presynaptic,1.1738006320022982,false,9,0.029716224524685562,3.6839076780197413,0,0.0
presynaptic,1.2220626256822753,false,9,0.030203562627972802,3.6835195274398567,0,0.0
presynaptic,1.2703246193622522,false,9,0.03007481991520058,3.684429046141499,0,0.0
presynaptic,1.3185866130422292,false,9,0.032321674138064194,3.682526535297919,0,0.0
presynaptic,1.3668486067222063,false,9,0.03535072487727268,3.68389038842327,0,0.0
presynaptic,1.4151106004021832,false,9,0.036487676008668306,3.684086766525548,0,0.0
presynaptic,1.4633725940821602,false,9,0.03810268837622665,3.6833009571315327,0,0.0
presynaptic,1.5116345877621373,false,9,0.040244744737730646,3.683535589000545,0,0.0
presynaptic,1.5598965814421144,false,9,0.041330492859233195,3.6803027789218823,0,0.0
presynaptic,1.6081585751220913,false,9,0.041786262964357314,3.6800942510156633,0,0.0
presynaptic,1.6564205688020683,false,9,0.04261540085364086,3.6841569382184267,0,0.0
presynaptic,1.7046825624820454,false,9,0.04328034354923485,3.6846200226731582,0,0.0
presynaptic,1.7529445561620225,false,9,0.04501241416348292,3.6840459108975767,0,0.0
presynaptic,1.8012065498419993,false,9,0.04360242978146293,3.6801900327290156,0,0.0
presynaptic,1.8494685435219764,false,9,0.04525807538234,3.6836332301047015,0,0.0
presynaptic,1.8977305372019535,false,9,0.045951275407649185,3.6811190340728612,0,0.0
presynaptic,1.9459925308819306,false,9,0.04757761012928406,3.6846567630973954,0,0.0
presynaptic,1.9942545245619074,false,9,0.05043255967684353,3.6848290049822716,0,0.0
presynaptic,2.0425165182418845,true,0,0.0,0.0,0,0.0
presynaptic,2.0907785119218616,false,9,0.05163055103476688,3.6811208657867818,0,0.0
presynaptic,2.1390405056018387,false,9,0.053216906585876696,3.681710495612193,0,0.0
presynaptic,2.1873024992818157,false,9,0.056975145737576526,3.6828819676662476,0,0.0
presynaptic,2.2355644929617924,false,9,0.056980600220093325,3.685747023616628,0,0.0
presynaptic,2.2838264866417695,false,9,0.0595600342470569,3.682571659108418,0,0.0
presynaptic,2.3320884803217465,false,9,0.06044195871921719,3.6860739834582694,0,0.0
presynaptic,2.3803504740017236,false,9,0.06381230433057726,3.6803014186662657,0,0.0
presynaptic,2.4286124676817007,false,9,0.0663245086243205,3.679528935140951,0,0.0
presynaptic,2.4768744613616778,false,9,0.06479560448084266,3.6839361057073794,0,0.0
presynaptic,2.525136455041655,false,9,0.06181431655974095,3.6786117355809753,0,0.0
