mode,control_gain,onset_failed,n_pre_intervals,mean_pre_frequency_hz,mean_pre_driver_frequency_hz,n_post_intervals,mean_post_frequency_hz,anchor_gain,anchor_target_alpha,anchor_target_g,si1_excitatory_g,compensated_direct_post_base_g,calibration_note
postsynaptic,3.857142857142857,false,9,0.11603434178101105,3.391210088897196,5,0.11793347849785676,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,3.9722222222222223,false,9,0.11735799186950535,3.0331509260866447,5,0.11749437243413621,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,4.087301587301587,false,9,0.12378840653345688,3.3809605106542335,5,0.11890654422892193,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,4.2023809523809526,false,9,0.12305302279664448,3.3814717728923425,5,0.1218963944068521,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,4.317460317460317,false,9,0.11933196372285744,2.970013326407324,4,0.12926322674993618,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,4.432539682539683,false,9,0.1186088022690618,3.0793400862865634,5,0.12255639998619454,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,4.5476190476190474,false,9,0.12799263212480047,3.390130561582197,5,0.12771258900667543,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,4.662698412698413,false,9,0.1230927545292718,3.0085016206458675,5,0.12377311448341766,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,4.777777777777778,false,9,0.12140570209872142,2.9568771455812857,5,0.12319617425279894,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,4.892857142857143,false,9,0.12071054135242483,2.9540369523453283,5,0.12147923257898911,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,5.007936507936508,false,9,0.12420903200200797,3.0679511201387597,6,0.12068988633551653,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,5.123015873015873,false,9,0.12284847530715279,2.9607384173114735,5,0.12589122329903774,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,5.238095238095238,false,9,0.12180673360760899,2.9352220303929175,5,0.12453536032652875,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,5.353174603174603,false,9,0.1220035979886846,2.9548954367911033,5,0.12261012122755047,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,5.468253968253968,false,9,0.12470435094559636,2.9447060768962583,5,0.1253049882408071,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,5.583333333333333,false,9,0.12286683600472238,2.8184964329103437,5,0.1297781399556576,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,5.698412698412699,false,9,0.1264310914088166,2.955666778115015,5,0.1267274515182501,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,5.813492063492063,false,9,0.13188808720857226,3.38467437498848,5,0.12692291498212277,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,5.928571428571429,false,9,0.12292828617234168,2.6063065033156487,5,0.12697952382372205,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,6.0436507936507935,false,9,0.128969227531977,2.9449415726725983,6,0.12487861024633502,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,6.158730158730159,false,9,0.12498397687553403,2.62261628226935,6,0.12352234416833731,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,6.273809523809524,false,9,0.12486284425803491,2.6188576265692927,5,0.13070059209543478,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,6.388888888888889,false,9,0.12416825415337966,2.53841400995454,5,0.12844619729153173,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,6.503968253968254,false,9,0.12493730202404246,2.6549786046083472,6,0.1231680851513869,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,6.619047619047619,false,9,0.13127334295389223,2.9378007188787434,5,0.1313066639508234,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,6.734126984126984,false,9,0.13078573586801098,2.93748008336603,5,0.13152971605548375,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,6.849206349206349,false,9,0.12996436168216913,2.676752616783527,5,0.1334704609292326,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,6.964285714285714,false,9,0.13542770140337615,2.9407861561899984,5,0.12963909688919958,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,7.079365079365079,false,9,0.13037747188238752,2.643282248400804,6,0.12482077663497755,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,7.194444444444445,false,9,0.13054016145571384,2.611656074860638,5,0.1333757649157284,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,7.309523809523809,false,9,0.12771848916415862,2.503550588694522,5,0.13275909683014908,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,7.424603174603175,false,9,0.12984231987981398,2.5258119458129342,5,0.1291191937902681,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,7.5396825396825395,false,9,0.13021499831361638,2.6148414322127755,6,0.12442888878337562,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,7.654761904761905,false,9,0.12401706576700078,2.3652433167245968,5,0.13482748980668685,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,7.76984126984127,false,9,0.1333055731484331,2.5725980716190815,6,0.12729328026366246,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,7.884920634920635,false,9,0.12815718374896987,2.5207070673932495,5,0.13461943658490533,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,8.0,false,9,0.12508671934434093,2.3606681444790536,6,0.12787915729083701,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
