mode,control_gain,onset_failed,n_pre_intervals,mean_pre_frequency_hz,mean_pre_driver_frequency_hz,n_post_intervals,mean_post_frequency_hz
presynaptic,0.0,true,0,0.0,0.0,0,0.0
presynaptic,0.3050847457627119,true,0,0.0,0.0,0,0.0
presynaptic,0.3533467394426889,true,0,0.0,0.0,0,0.0
presynaptic,0.4016087331226659,false,9,0.015555783081912473,3.683212180622544,0,0.0
presynaptic,0.4498707268026429,true,0,0.0,0.0,0,0.0
presynaptic,0.4981327204826199,true,0,0.0,0.0,0,0.0
presynaptic,0.546394714162597,true,0,0.0,0.0,0,0.0
presynaptic,0.594656707842574,true,0,0.0,0.0,0,0.0
presynaptic,0.642918701522551,true,0,0.0,0.0,0,0.0
presynaptic,0.691180695202528,true,0,0.0,0.0,0,0.0
presynaptic,0.739442688882505,true,0,0.0,0.0,0,0.0
presynaptic,0.787704682562482,false,9,0.02632110163218055,3.682916010675049,0,0.0
presynaptic,0.835966676242459,true,0,0.0,0.0,0,0.0
presynaptic,0.8842286699224361,true,0,0.0,0.0,0,0.0
presynaptic,0.9324906636024131,false,9,0.027959676218442808,3.680686211628191,0,0.0
presynaptic,0.9807526572823901,true,0,0.0,0.0,0,0.0
presynaptic,1.0290146509623672,true,0,0.0,0.0,0,0.0
presynaptic,1.077276644642344,true,0,0.0,0.0,0,0.0
presynaptic,1.1255386383223211,true,0,0.0,0.0,0,0.0
presynaptic,1.1738006320022982,true,0,0.0,0.0,0,0.0
presynaptic,1.2220626256822753,true,0,0.0,0.0,0,0.0
presynaptic,1.2703246193622522,true,0,0.0,0.0,0,0.0
presynaptic,1.3185866130422292,true,0,0.0,0.0,0,0.0
presynaptic,1.3668486067222063,true,0,0.0,0.0,0,0.0
presynaptic,1.4151106004021832,true,0,0.0,0.0,0,0.0
presynaptic,1.4633725940821602,true,0,0.0,0.0,0,0.0
presynaptic,1.5116345877621373,true,0,0.0,0.0,0,0.0
presynaptic,1.5598965814421144,true,0,0.0,0.0,0,0.0
presynaptic,1.6081585751220913,true,0,0.0,0.0,0,0.0
presynaptic,1.6564205688020683,true,0,0.0,0.0,0,0.0
presynaptic,1.7046825624820454,true,0,0.0,0.0,0,0.0
presynaptic,1.7529445561620225,false,9,0.04486035737137542,3.6819773046902267,0,0.0
presynaptic,1.8012065498419993,false,9,0.04593648521370955,3.6832265098562424,0,0.0
presynaptic,1.8494685435219764,true,0,0.0,0.0,0,0.0
presynaptic,1.8977305372019535,true,0,0.0,0.0,0,0.0
presynaptic,1.9459925308819306,true,0,0.0,0.0,0,0.0
presynaptic,1.9942545245619074,false,9,0.048752990967310186,3.6824885183290945,0,0.0
presynaptic,2.0425165182418845,true,0,0.0,0.0,0,0.0
presynaptic,2.0907785119218616,true,0,0.0,0.0,0,0.0
presynaptic,2.1390405056018387,true,0,0.0,0.0,0,0.0
presynaptic,2.1873024992818157,true,0,0.0,0.0,0,0.0
presynaptic,2.2355644929617924,true,0,0.0,0.0,0,0.0
presynaptic,2.2838264866417695,false,9,0.05825804453947389,3.6807480316263996,0,0.0
presynaptic,2.3320884803217465,true,0,0.0,0.0,0,0.0
presynaptic,2.3803504740017236,false,9,0.06114919765306491,3.6838597554296806,0,0.0
presynaptic,2.4286124676817007,true,0,0.0,0.0,0,0.0
presynaptic,2.4768744613616778,false,9,0.06444045456190979,3.6866810350361976,0,0.0
presynaptic,2.525136455041655,true,0,0.0,0.0,0,0.0
presynaptic,2.573398448721632,true,0,0.0,0.0,0,0.0
presynaptic,2.6216604424016086,true,0,0.0,0.0,0,0.0
presynaptic,2.6699224360815856,true,0,0.0,0.0,0,0.0
presynaptic,2.7181844297615627,false,9,0.08008391974443231,3.67796902156541,0,0.0
presynaptic,2.76644642344154,true,0,0.0,0.0,0,0.0
presynaptic,2.814708417121517,true,0,0.0,0.0,0,0.0
presynaptic,2.862970410801494,true,0,0.0,0.0,0,0.0
presynaptic,2.911232404481471,false,9,0.08927174943946278,3.6784018667360843,0,0.0
presynaptic,2.9594943981614477,true,0,0.0,0.0,0,0.0
presynaptic,3.0077563918414247,true,0,0.0,0.0,0,0.0
presynaptic,3.056018385521402,false,9,0.09824233213264297,3.6892307406016167,0,0.0
presynaptic,3.104280379201379,false,9,0.09749937843545373,3.6828715662548586,0,0.0
presynaptic,3.152542372881356,true,0,0.0,0.0,0,0.0
presynaptic,3.200804366561333,true,0,0.0,0.0,0,0.0
presynaptic,3.24906636024131,false,9,0.09992019860315113,3.685964247678401,0,0.0
presynaptic,3.297328353921287,false,9,0.11058641819682749,3.685607126843356,0,0.0
presynaptic,3.345590347601264,true,0,0.0,0.0,0,0.0
presynaptic,3.393852341281241,false,9,0.11060696585076617,3.686318962449456,0,0.0
presynaptic,3.442114334961218,false,9,0.11109035095793082,3.677156189417979,0,0.0
presynaptic,3.490376328641195,false,9,0.1092314104773639,3.6854827502540153,0,0.0
presynaptic,3.538638322321172,false,9,0.11221869372466697,3.678243650739763,0,0.0
presynaptic,3.5869003160011492,false,9,0.11637539628493412,3.679131709436499,0,0.0
presynaptic,3.6351623096811263,false,9,0.1242123071734012,3.6781559978750176,0,0.0
presynaptic,3.683424303361103,false,9,0.12727222281577938,3.6908944616576016,0,0.0
presynaptic,3.73168629704108,false,9,0.1268700968256397,3.6784904500156,0,0.0
presynaptic,3.779948290721057,false,9,0.13004184957578363,3.682974157768282,0,0.0
presynaptic,3.828210284401034,false,9,0.12719963525668,3.673892161696992,0,0.0
presynaptic,3.8764722780810112,false,9,0.12826680833061602,3.6756939625499125,0,0.0
presynaptic,3.9247342717609883,false,9,0.12875089959331673,3.6888478582768087,0,0.0
presynaptic,3.9729962654409654,false,9,0.13043259999409088,3.6777362281782837,0,0.0
presynaptic,4.021258259120942,false,9,0.13081429527031127,3.6766458722874336,0,0.0
presynaptic,4.06952025280092,false,9,0.1317880245867501,3.685511648420019,0,0.0
presynaptic,4.117782246480896,false,9,0.12785775385316525,3.677864795708203,0,0.0
presynaptic,4.166044240160874,false,9,0.13092854257177264,3.677829047221873,0,0.0
presynaptic,4.21430623384085,false,9,0.12973985067578417,3.6882569444256257,0,0.0
presynaptic,4.262568227520827,false,9,0.1328012102115893,3.693507787680258,0,0.0
presynaptic,4.3108302212008045,false,9,0.13745748707709837,3.684573123950984,0,0.0
presynaptic,4.359092214880781,false,9,0.13316953843518103,3.6776697194793777,0,0.0
presynaptic,4.407354208560759,false,9,0.13582730968424536,3.6753678805353007,0,0.0
presynaptic,4.455616202240735,false,9,0.13755427295253317,3.672856483803372,0,0.0
presynaptic,4.503878195920713,false,9,0.1382820297835678,3.678918987334552,0,0.0
presynaptic,4.5521401896006894,false,9,0.13044952784024452,3.6812744244112974,0,0.0
presynaptic,4.600402183280666,false,9,0.13431150249535043,3.6803246493991,0,0.0
