mode,si1_frequency_hz,burst_frequency_hz
presynaptic,5.213323637644432,0.11230907457322552
presynaptic,4.8324958137035035,0.14245014245014254
presynaptic,4.426539570261331,0.11792452830188674
presynaptic,4.0113488213732245,0.10615711252653925
presynaptic,3.6190973373086237,0.10379904504878555
presynaptic,3.174743829190949,0.08503401360544224
presynaptic,2.702430110848127,0.07234843003906814
presynaptic,2.2060990351750207,0.05993766482857829
presynaptic,1.6497522887348097,0.04763265694960465
presynaptic,0.49832469420717634,0.0212965329244399
presynaptic,0.4286020367940562,0.45913682277318696
postsynaptic,5.468589502300076,0.15581177937052043
postsynaptic,5.1500337282086885,0.16361256544502623
postsynaptic,4.731965782647551,0.1261352169525731
postsynaptic,4.342663557126652,0.12254901960784319
postsynaptic,3.9716729998182747,0.12138868657441128
postsynaptic,3.63552086805787,0.11896264572924103
postsynaptic,3.2671978193408227,0.10447137484329298
postsynaptic,2.9051977936298155,0.093703148425787
postsynaptic,2.566131227759202,0.09773260359655982
postsynaptic,2.2585958933462114,0.09576709442635517
postsynaptic,1.9678513489201521,0.09563886763580716
postsynaptic,1.6181509932965021,0.07389890629618684
postsynaptic,1.5871615166644566,0.9041591320072261
postsynaptic,0.6036896829896234,0.024630541871921176
postsynaptic,0.5549008742799015,0.5592841163311016
postsynaptic,0.49832469420717634,0.5030181086519115
postsynaptic,0.4286020367940562,0.4302925989672955
postsynaptic,0.3283194358324326,0.32722513089005417
