mode,time_s,V0,V1
presynaptic,1.18,-41.0625,-43.2986711249148
presynaptic,1.19,-41.156243338727684,-43.298671230363205
presynaptic,1.2,-40.96875,-43.29867133495504
presynaptic,1.21,-40.84822094698658,-43.298671438697
presynaptic,1.22,-40.83482808984373,-43.29867154159568
presynaptic,1.23,-40.78125,-43.298671643657585
presynaptic,1.24,-40.91516524888395,-43.298671744889226
presynaptic,1.25,-40.513399518415184,-43.29867184529712
presynaptic,1.26,-40.406243338727684,-43.29867194488765
presynaptic,1.27,-40.48661380412945,-43.29867204366714
presynaptic,1.28,-40.62052905301339,-43.2986721416419
presynaptic,1.29,-40.92857808984375,-43.29867223881825
presynaptic,1.3,-41.0625,-43.298672335202376
presynaptic,1.31,-40.995542375558024,-43.298672430800416
presynaptic,1.32,-40.96875,-43.298672525618485
presynaptic,1.33,-41.25,-43.298672619662725
presynaptic,1.34,-41.25,-43.29867271293912
presynaptic,1.35,-41.223220946986615,-43.298672805453634
presynaptic,1.36,-41.10267191015625,-43.29867289721221
presynaptic,1.37,-40.9151852327009,-43.29867298822077
presynaptic,1.38,-41.03570762444199,-43.29867307848516
presynaptic,1.39,-40.95535048158485,-43.298673168011135
presynaptic,1.4,-40.875,-43.29867325680447
presynaptic,1.41,-40.13838619587056,-43.29867334487093
presynaptic,1.42,-39.42855810602684,-43.298673432216134
presynaptic,1.43,-39.46875,-43.2986735188457
presynaptic,1.44,-39.42856476729912,-43.298673604765234
presynaptic,1.45,-39.066957624441976,-43.2986736899803
presynaptic,1.46,-38.625,-43.29867377449638
presynaptic,1.47,-38.156256661272316,-43.298673858318914
presynaptic,1.48,-37.995522391741105,-43.29867394145331
presynaptic,1.49,-37.52677905301339,-43.29867402390501
presynaptic,1.5,-37.55357808984373,-43.29867410567929
presynaptic,1.51,-37.5,-43.298674186781426
presynaptic,1.52,-37.526792375558024,-43.29867426721672
presynaptic,1.53,-37.96875,-43.29867434699038
presynaptic,1.54,-38.625,-43.29867442610757
presynaptic,1.55,-39.0,-43.2986745045734
presynaptic,1.56,-39.53572094698661,-43.298674582392984
presynaptic,1.57,-39.8303438203125,-43.2986746595714
presynaptic,1.58,-40.0848147672991,-43.29867473611365
presynaptic,1.59,-40.59375,-43.29867481202468
presynaptic,1.6,-41.075899518415184,-43.298674887309474
presynaptic,1.61,-41.812493338727684,-43.29867496197295
presynaptic,1.62,-41.97322760825896,-43.29867503601993
presynaptic,1.63,-42.44197094698658,-43.298675109455246
presynaptic,1.64,-42.79017191015627,-43.29867518228371
presynaptic,1.65,-42.73662046540172,-43.2986752545101
presynaptic,1.66,-43.03125,-43.2986753261391
presynaptic,1.67,-42.76339951841515,-43.29867539717538
presynaptic,1.68,-42.656256661272316,-43.298675467623625
presynaptic,1.69,-42.9375,-43.29867553748845
presynaptic,1.7,-43.44644189397316,-43.2986756067744
presynaptic,1.71,-43.35267191015627,-43.29867567548603
presynaptic,1.72,-42.65625,-43.298675743627854
presynaptic,1.73,-42.776792375558024,-43.29867581120437
presynaptic,1.74,-43.017850481584816,-43.29867587821997
presynaptic,1.75,-43.03125,-43.29867594467907
presynaptic,1.76,-43.21875,-43.29867601058606
presynaptic,1.77,-43.15177905301339,-43.29867607594528
presynaptic,1.78,-43.36607808984375,-43.298676140761025
presynaptic,1.79,-43.23212953459821,-43.298676205037545
presynaptic,1.8,-43.245542375558024,-43.298676268779104
presynaptic,1.81,-43.205350481584816,-43.29867633198994
presynaptic,1.82,-43.031256661272316,-43.29867639467418
presynaptic,1.83,-43.044636195870524,-43.29867645683597
presynaptic,1.84,-42.9375,-43.298676518479446
presynaptic,1.85,-42.9375,-43.29867657960869
presynaptic,1.86,-42.8973147672991,-43.29867664022772
presynaptic,1.87,-42.5625,-43.29867670034056
presynaptic,1.88,-42.5625,-43.29867675995121
presynaptic,1.89,-42.562486677455446,-43.29867681906366
presynaptic,1.9,-42.375,-43.29867687768178
presynaptic,1.91,-42.30802905301342,-43.298676935809475
presynaptic,1.92,-42.41517191015627,-43.29867699345064
presynaptic,1.93,-42.41518523270088,-43.29867705060911
presynaptic,1.94,-42.5625,-43.29867710728867
presynaptic,1.95,-42.48214951841515,-43.298677163493096
presynaptic,1.96,-42.37501332254463,-43.298677219226164
presynaptic,1.97,-42.375,-43.298677274491595
presynaptic,1.98,-42.28125,-43.29867732929306
presynaptic,1.99,-42.41517191015627,-43.298677383634214
presynaptic,2.0,-42.241064767299086,-43.29867743751873
presynaptic,2.01,-42.0,-43.298677490950205
presynaptic,2.02,-41.73214951841522,-43.29867754393219
