mode,control_gain,n_points,mean_burst_frequency_hz,std_burst_frequency_hz,mean_cycle_excitation,std_cycle_excitation,peak_cycle_excitation,mean_gain_factor,mean_alpha_eff,mean_g_eff
direct_gmax,0.0,0,0.0,0.0,0.0004066195716457785,6.819247242996943e-5,0.0005934219736981436,1.0,0.050000000000000024,0.0006250000000000002
direct_gmax,0.12244897959183673,10,0.09776113910128706,0.0036793474397023023,0.00027872943594842793,8.373403269613855e-6,0.0006679431300484915,1.1224489795918369,0.050000000000000024,0.000701530612244898
direct_gmax,0.24489795918367346,10,0.10435372160915965,0.002987584593600593,0.0002942505415998029,1.1154714444460478e-5,0.0007405995031743594,1.2448979591836733,0.05000000000000003,0.0007780612244897957
direct_gmax,0.3673469387755102,10,0.09756382050148274,0.01944815175313641,0.00035424844069380354,2.362245458173999e-5,0.000812562614832905,1.3673469387755117,0.050000000000000024,0.0008545918367346937
direct_gmax,0.4897959183673469,10,0.09620115348946298,0.021812433468065832,0.0003949889531682905,1.8581268735946772e-5,0.000886468334163912,1.4897959183673475,0.050000000000000024,0.0009311224489795926
direct_gmax,0.6122448979591837,10,0.10558697870118863,0.012656449770677026,0.00044108961257240494,1.4831794012272052e-5,0.0009609328336378413,1.6122448979591852,0.050000000000000024,0.0010076530612244893
direct_gmax,0.7346938775510204,10,0.11223910974943756,0.008116362312780212,0.0004706029249865938,2.456652414104075e-5,0.0010342598977489716,1.734693877551021,0.05000000000000003,0.0010841836734693873
direct_gmax,0.8571428571428571,10,0.11443092060234968,0.0037476522821064417,0.0005057306837717983,2.2282757797766928e-5,0.0011074114659981747,1.8571428571428563,0.050000000000000024,0.0011607142857142858
direct_gmax,0.9795918367346939,10,0.11842475929573529,0.005092187845088613,0.0005371352002786286,2.946662204687218e-5,0.0011801728848868185,1.9795918367346936,0.05000000000000001,0.001237244897959184
direct_gmax,1.1020408163265305,10,0.12385655767996728,0.005337764569788411,0.000562602150733719,1.8393003164147246e-5,0.0012539433583704132,2.1020408163265323,0.04999999999999997,0.0013137755102040813
