mode,control_gain,phase,interval_start_s,frequency_hz,driver_frequency_hz
presynaptic,1.423943661971831,pre,225.90766564393536,0.05222705396419951,4.178164317135961
presynaptic,1.423943661971831,pre,245.0548302664216,0.05170699134479705,4.1882662989285615
presynaptic,1.423943661971831,pre,264.3945747379518,0.05157332461537227,4.229012618460526
presynaptic,1.423943661971831,pre,283.7844435792158,0.05152969033454976,4.225434607433081
presynaptic,1.423943661971831,pre,303.19073136219356,0.05164862663829866,4.183538757702191
presynaptic,1.423943661971831,pre,322.55233040340556,0.051483874036887894,4.221677671024808
presynaptic,1.423943661971831,pre,341.9758881427378,0.051634886818027984,4.182425832260267
presynaptic,1.423943661971831,pre,361.34263922179423,0.051521895677340696,4.224795445541937
presynaptic,1.423943661971831,pre,380.75186294800505,0.05156432939027267,4.176710680612086
presynaptic,1.504225352112676,pre,181.87492512819074,0.054594997524478814,4.203814809384869
presynaptic,1.504225352112676,pre,200.19162162683293,0.0546308422378965,4.20657485231803
presynaptic,1.504225352112676,pre,218.4963000655321,0.05465246300890491,4.208239651685678
presynaptic,1.504225352112676,pre,236.79373708748412,0.05467584816786633,4.2100403089257075
presynaptic,1.504225352112676,pre,255.083348195661,0.05468893491520934,4.211047988471119
presynaptic,1.504225352112676,pre,273.36858270517223,0.05468007009788392,4.210365397537062
presynaptic,1.504225352112676,pre,291.65678164511286,0.054678076991757855,4.2102119283653545
presynaptic,1.504225352112676,pre,309.9456472200807,0.054672716684853406,4.209799184733712
presynaptic,1.504225352112676,pre,328.2363059002454,0.05466375265766119,4.209108954639912
presynaptic,1.5845070422535212,pre,167.66669635538804,0.05561303842569274,4.170977881926956
presynaptic,1.5845070422535212,pre,185.64809115610817,0.05813275920646962,4.243691422072282
presynaptic,1.5845070422535212,pre,202.85009590610306,0.058111165391557286,4.184003908192125
presynaptic,1.5845070422535212,pre,220.05849283398993,0.05809058852724849,4.182522373961891
presynaptic,1.5845070422535212,pre,237.27298532498838,0.058170132616842195,4.24641968102948
presynaptic,1.5845070422535212,pre,254.4639380530292,0.05793698233364482,4.171462728022426
presynaptic,1.5845070422535212,pre,271.72407069579003,0.05820749606053453,4.249147212419021
