mode,control_gain,phase,interval_start_s,frequency_hz,driver_frequency_hz
postsynaptic,0.5,pre,132.57314925442083,0.04568475235815606,4.202997216950358
postsynaptic,0.5,pre,154.46229056266895,0.0456699950631208,4.201639545807113
postsynaptic,0.5,pre,176.35850488495853,0.04539659518810993,4.221883352494223
postsynaptic,0.5,pre,198.38658861802924,0.04506139986064525,4.1907101870400085
postsynaptic,0.5,pre,220.5785312361581,0.04505071059691509,4.234766796110018
postsynaptic,0.5,pre,242.7757393767213,0.045644369284959053,4.199281974216232
postsynaptic,0.5,pre,264.6842467274741,0.04600159403216119,4.1861450569266685
postsynaptic,0.5,pre,286.422623865033,0.04458218191856291,4.190725100344914
postsynaptic,0.5,pre,308.8531096996356,0.04588995262089281,4.221875641122138
postsynaptic,0.75,pre,129.9709061162209,0.048912522548794926,4.206476939196364
postsynaptic,0.75,pre,150.4155682986386,0.04890762063053354,4.206055374225884
postsynaptic,0.75,pre,170.86227961085666,0.04890756814223524,4.206050860232231
postsynaptic,0.75,pre,191.30901286677636,0.04890756476260967,4.2060505695844315
postsynaptic,0.75,pre,211.7557475356125,0.04890756075289227,4.2060502247487355
postsynaptic,0.75,pre,232.20248388078716,0.048907566966100886,4.206050759084676
postsynaptic,0.75,pre,252.64921762841206,0.04890756223459711,4.206050352175351
postsynaptic,0.75,pre,273.09595335413184,0.0489075637659104,4.206050483868294
postsynaptic,0.75,pre,293.542688439657,0.04890756451444722,4.206050548242461
postsynaptic,0.8650793650793651,pre,128.25726197566618,0.05057941324759215,4.198091299550149
postsynaptic,0.8650793650793651,pre,148.0281516675826,0.048968320905944066,4.2112755979111895
postsynaptic,0.8650793650793651,pre,168.44951759354012,0.048931256076890896,4.208088022612617
postsynaptic,0.8650793650793651,pre,188.88635245485236,0.05010350949674671,4.208694797726724
postsynaptic,0.8650793650793651,pre,208.8450341928039,0.0504753970734155,4.189457957093486
postsynaptic,0.8650793650793651,pre,228.65666635382522,0.04737541232578895,4.216411696995216
postsynaptic,0.8650793650793651,pre,249.76466206103402,0.049915976870323446,4.192942057107169
postsynaptic,0.8650793650793651,pre,269.79832788706597,0.049489532863649474,4.206610293410205
postsynaptic,0.8650793650793651,pre,290.00462085724087,0.04874621314161136,4.1921743301785765
postsynaptic,0.9801587301587301,pre,125.37512829457722,0.050612148422420004,4.200808319060861
postsynaptic,0.9801587301587301,pre,145.13323047300645,0.04890427897773923,4.2057679920855735
postsynaptic,0.9801587301587301,pre,165.58133891879686,0.04947354436500467,4.205251271025396
postsynaptic,0.9801587301587301,pre,185.7941620111192,0.04944353373674196,4.202700367623066
postsynaptic,0.9801587301587301,pre,206.01925363431138,0.048880920436803726,4.20375915756512
postsynaptic,0.9801587301587301,pre,226.47713354049813,0.051036335819744955,4.184979537219086
postsynaptic,0.9801587301587301,pre,246.07101668155858,0.051397074649503854,4.214560121259316
postsynaptic,0.9801587301587301,pre,265.52737692811695,0.0522159776979423,4.229494193533326
postsynaptic,0.9801587301587301,pre,284.67860312529314,0.05125539575552256,4.20294245195285
postsynaptic,1.0952380952380953,pre,125.31598514460757,0.053383042854748514,4.217260385525132
postsynaptic,1.0952380952380953,pre,144.04852541438817,0.05296239091398866,4.236991273119092
postsynaptic,1.0952380952380953,pre,162.92984823125283,0.05214259417579147,4.171407534063317
postsynaptic,1.0952380952380953,pre,182.10802714250224,0.05223009766687592,4.23063791101695
postsynaptic,1.0952380952380953,pre,201.25407596626684,0.0533936053620822,4.218094823604494
postsynaptic,1.0952380952380953,pre,219.98291050026435,0.05250118279393252,4.200094623514601
postsynaptic,1.0952380952380953,pre,239.03010042596577,0.05347555454776746,4.171093254725862
postsynaptic,1.0952380952380953,pre,257.7302337571076,0.053427161515858634,4.220745759752832
postsynaptic,1.0952380952380953,pre,276.4473052171584,0.05331728282384888,4.2120653430840616
postsynaptic,1.2103174603174602,pre,114.2358084608352,0.05680717836289659,4.2037311988543475
postsynaptic,1.2103174603174602,pre,131.8392175513516,0.056776550955001295,4.201464770670096
postsynaptic,1.2103174603174602,pre,149.45212258308834,0.057806109943486124,4.219846025874487
postsynaptic,1.2103174603174602,pre,166.7513319742348,0.056639554799589494,4.191327055169623
postsynaptic,1.2103174603174602,pre,184.40683798127085,0.0567483642132976,4.1993789517840225
postsynaptic,1.2103174603174602,pre,202.0284912899256,0.05480624107175691,4.220080562525282
postsynaptic,1.2103174603174602,pre,220.27458845777764,0.05667909296005768,4.194252879044268
postsynaptic,1.2103174603174602,pre,237.91777834976673,0.0575645006648354,4.202208548532984
postsynaptic,1.2103174603174602,pre,255.28959584927773,0.05838136894065109,4.203458563726878
postsynaptic,1.3253968253968254,pre,113.70944171235705,0.06099418905152519,4.208599044555238
postsynaptic,1.3253968253968254,pre,130.10444614720976,0.06176705469529768,4.200159719280242
postsynaptic,1.3253968253968254,pre,146.29430666319337,0.06185991362400958,4.206474126432652
postsynaptic,1.3253968253968254,pre,162.45986431460062,0.06185086818515466,4.205859036590517
postsynaptic,1.3253968253968254,pre,178.62778611331223,0.06185319992642651,4.206017594997003
postsynaptic,1.3253968253968254,pre,194.7950984138801,0.06185352622908158,4.206039783577547
postsynaptic,1.3253968253968254,pre,210.96232542526158,0.06185360954905112,4.206045449335476
postsynaptic,1.3253968253968254,pre,227.12953065856297,0.061853683977564015,4.206050510474353
postsynaptic,1.3253968253968254,pre,243.29671643787285,0.06185366133879726,4.206048971038213
postsynaptic,1.3253968253968254,post,275.6310926927711,0.08036017848549687,NaN
postsynaptic,1.4404761904761905,pre,111.46194007376994,0.0661209553500164,4.23174114240105
postsynaptic,1.4404761904761905,pre,126.58573849299154,0.06929778471980304,4.227164867907986
postsynaptic,1.4404761904761905,pre,141.0162142151719,0.07345567889712835,4.186973697136317
postsynaptic,1.4404761904761905,pre,154.62986553545252,0.07395420022820016,4.21538941300741
postsynaptic,1.4404761904761905,pre,168.151747956117,0.07514938002599089,4.20836528145549
postsynaptic,1.4404761904761905,pre,181.4585776286192,0.07747298891992367,4.183541401675878
postsynaptic,1.4404761904761905,pre,194.366302165149,0.08015343982491609,4.167978870895636
postsynaptic,1.4404761904761905,pre,206.84237308842265,0.07757242888409759,4.266483588625367
postsynaptic,1.4404761904761905,pre,219.73355123490197,0.07968144236225154,4.14343500283708
postsynaptic,1.4404761904761905,post,245.1731297470012,0.09247621962620212,NaN
postsynaptic,1.4404761904761905,post,255.9867205711298,0.08884696795741413,NaN
postsynaptic,1.5555555555555556,pre,103.5934601371598,0.06735990885342556,4.24367425776581
postsynaptic,1.5555555555555556,pre,118.43908592587619,0.07074841907018764,4.174156725141071
postsynaptic,1.5555555555555556,pre,132.5736773859048,0.07650558439632338,4.207807141797786
postsynaptic,1.5555555555555556,pre,145.64461864974353,0.07998616277794372,4.239266627231018
postsynaptic,1.5555555555555556,pre,158.14678108971685,0.0838003683449221,4.1900184172461055
postsynaptic,1.5555555555555556,pre,170.07990286173583,0.08406830416424946,4.203415208212473
postsynaptic,1.5555555555555556,pre,181.97499233619743,0.08275036178096801,4.220268450829368
postsynaptic,1.5555555555555556,pre,194.0595316479034,0.08702652316382506,4.177273111863602
postsynaptic,1.5555555555555556,pre,205.55028140608377,0.0879303407959784,4.220656358206964
postsynaptic,1.5555555555555556,post,228.4416272825342,0.10537728795162436,NaN
