mode,si1_frequency_hz,burst_frequency_hz
presynaptic,5.903100905019119,0.04338394793926248
presynaptic,5.487228474400127,0.07267441860465114
presynaptic,5.182041151513314,0.11778563015312139
presynaptic,5.22683683121225,0.10706638115631688
presynaptic,3.9604416828247384,0.10764262648008621
presynaptic,4.97425387037651,0.10964912280701748
presynaptic,4.112810507078779,0.11235955056179768
presynaptic,4.70758625921202,0.10810810810810811
presynaptic,5.007354436069928,0.10515247108307055
presynaptic,4.023236551664183,0.0908265213442326
presynaptic,4.0719000170122595,0.09380863039399603
presynaptic,5.27359323202641,0.09233610341643596
presynaptic,4.395279440320282,0.09009009009009014
presynaptic,4.458513735039508,0.08576329331046315
presynaptic,1.825779900358716,0.07911392405063282
presynaptic,1.4926017107152445,0.06839945280437755
presynaptic,1.6045712345045506,0.05681818181818184
postsynaptic,5.846393121553998,0.041946308724832224
postsynaptic,4.330136651014784,0.08718395815170009
postsynaptic,4.365125894817488,0.1204819277108432
postsynaptic,4.55471523448893,0.13755158184319127
postsynaptic,5.29012767118277,0.1420454545454547
postsynaptic,5.878344702166975,0.13736263736263735
postsynaptic,3.8353047155939994,0.1369863013698628
postsynaptic,2.0405955185681206,0.12903225806451613
postsynaptic,5.464732717098036,0.1404494382022474
postsynaptic,5.105626330162465,0.14409221902017297
postsynaptic,3.3204360702075415,0.1420454545454547
postsynaptic,1.9385823852917932,0.13513513513513503
postsynaptic,1.817055069050609,0.1362397820163487
postsynaptic,3.579421117539895,0.13850415512465375
postsynaptic,4.408324288962286,0.1404494382022471
postsynaptic,5.746594015829436,0.13927576601671296
postsynaptic,3.6865786334511297,0.1355013550135502
postsynaptic,4.7830420299388665,0.13869625520110943
postsynaptic,1.4368220784554133,0.13586956521739157
postsynaptic,1.8309241660761537,0.12936610608020668
postsynaptic,4.858405122845457,0.13513513513513556
postsynaptic,4.989561370199066,0.13123359580052485
postsynaptic,1.4507979949326741,0.1317523056653491
postsynaptic,2.9253697881050322,0.12642225031605567
postsynaptic,1.6045712345045506,0.12674271229404285
postsynaptic,0.31468150420092533,0.12210012210012214
postsynaptic,0.25188378741166456,0.11534025374855804
postsynaptic,0.25188378741166456,0.10493179433368341
postsynaptic,0.25188378741166456,0.09285051067780889
postsynaptic,0.25188378741166456,0.07168458781361983
