mode,control_gain,burst_time_s,burst_frequency_hz,mean_effective_excitation,peak_effective_excitation,mean_gain_factor,alpha_eff,g_eff
direct_gmax,0.12244897959183673,200.46040534066054,0.09237432531791887,0.0002864981135640569,0.0006677379012660562,1.122448979591837,0.05,0.0007015306122448985
direct_gmax,0.12244897959183673,211.28592419082116,0.0975567391305977,0.0002876769634359167,0.0006684456557175922,1.1224489795918366,0.05000000000000004,0.0007015306122448978
direct_gmax,0.12244897959183673,221.53636930524135,0.09321894139378134,0.0002823981577816693,0.0006671559420203952,1.1224489795918369,0.04999999999999996,0.0007015306122448979
direct_gmax,0.12244897959183673,232.2638028616442,0.09787816057757448,0.0002855778685232743,0.0006684067450023546,1.1224489795918366,0.050000000000000044,0.000701530612244898
direct_gmax,0.12244897959183673,242.48058660685402,0.0933677887432717,0.00028167833395084164,0.0006671961999590279,1.1224489795918369,0.04999999999999997,0.000701530612244898
direct_gmax,0.12244897959183673,253.19091844034796,0.09784762200806524,0.0002853946340600813,0.0006682959849588164,1.1224489795918366,0.050000000000000044,0.0007015306122448979
direct_gmax,0.12244897959183673,263.4108908778751,0.10226792913163336,0.00026431779656784714,0.0006684559222217316,1.122448979591837,0.050000000000000024,0.0007015306122448985
direct_gmax,0.12244897959183673,273.1891274031582,0.10052597693585263,0.00027131984085050815,0.0006682999187491496,1.1224489795918366,0.05000000000000004,0.0007015306122448979
direct_gmax,0.12244897959183673,283.1368049137992,0.10134330553150228,0.0002703102854310386,0.0006677361576621977,1.1224489795918369,0.05000000000000003,0.0007015306122448981
direct_gmax,0.12244897959183673,293.0042549121531,0.10123060224267298,0.00027212236531904527,0.0006677008729275929,1.1224489795918369,0.05000000000000003,0.000701530612244898
direct_gmax,0.24489795918367346,190.34034648264665,0.09722819008260292,0.00029178388809873376,0.0007403327615301169,1.244897959183674,0.050000000000000024,0.0007780612244897955
direct_gmax,0.24489795918367346,200.62542943184505,0.10570403911448205,0.00029630511162505655,0.0007411460352438646,1.2448979591836729,0.05000000000000004,0.0007780612244897959
direct_gmax,0.24489795918367346,210.08580586000554,0.10493813961298393,0.0003018705325026102,0.0007407983300322816,1.244897959183674,0.05000000000000004,0.0007780612244897956
direct_gmax,0.24489795918367346,219.61522961087476,0.10420160543422036,0.00030358834507999445,0.0007408278391203411,1.2448979591836735,0.05000000000000003,0.0007780612244897957
direct_gmax,0.24489795918367346,229.2120107337076,0.10457651636248647,0.00030261137508845313,0.0007413636143469733,1.2448979591836737,0.05000000000000004,0.0007780612244897956
direct_gmax,0.24489795918367346,238.77438701839628,0.10450139940076082,0.00029102243504842127,0.0007408843219459978,1.2448979591836737,0.05000000000000003,0.0007780612244897957
direct_gmax,0.24489795918367346,248.3436368632239,0.10752256208250716,0.00027025204536004527,0.000740523358274036,1.2448979591836737,0.050000000000000024,0.0007780612244897957
direct_gmax,0.24489795918367346,257.6440104837172,0.10289544412393739,0.00028635884483866594,0.000739350630347722,1.2448979591836729,0.050000000000000044,0.0007780612244897958
direct_gmax,0.24489795918367346,267.3626137563315,0.10819940886683165,0.0002895173761198412,0.0007403494672144248,1.2448979591836735,0.05000000000000003,0.0007780612244897957
direct_gmax,0.24489795918367346,276.6048084270137,0.10376991101078367,0.00030919546223620765,0.0007404186736878351,1.2448979591836733,0.05000000000000004,0.0007780612244897958
direct_gmax,0.3673469387755102,109.74987703007791,0.0501861305382141,0.0004062974556360765,0.000805566974642212,1.367346938775512,0.05000000000000004,0.0008545918367346928
direct_gmax,0.3673469387755102,129.67570094349065,0.08207038537845489,0.0003667759048662251,0.0008138260654261826,1.3673469387755106,0.04999999999999997,0.000854591836734694
direct_gmax,0.3673469387755102,141.86036408828588,0.09176587456753131,0.0003667256854383467,0.0008151325443773348,1.3673469387755117,0.04999999999999998,0.0008545918367346937
direct_gmax,0.3673469387755102,152.75766120132207,0.09640286809433196,0.00036228626389059505,0.0008138996743822027,1.3673469387755115,0.049999999999999996,0.0008545918367346936
direct_gmax,0.3673469387755102,163.13079656303643,0.10571248820078014,0.0003596365047303694,0.0008126643076805379,1.367346938775512,0.05000000000000004,0.0008545918367346933
direct_gmax,0.3673469387755102,172.5904168692078,0.1141584025884201,0.0003391540527666444,0.0008143656644746747,1.3673469387755115,0.050000000000000024,0.0008545918367346938
direct_gmax,0.3673469387755102,181.3501750414147,0.11380456741523041,0.00032711524258432893,0.0008121481602857107,1.3673469387755113,0.050000000000000024,0.0008545918367346938
direct_gmax,0.3673469387755102,190.1371685928367,0.10814202986627837,0.0003475728167891947,0.0008124631466283772,1.3673469387755113,0.050000000000000024,0.0008545918367346937
direct_gmax,0.3673469387755102,199.38426707283136,0.10645120878518327,0.0003375780641500865,0.0008122843264900246,1.3673469387755115,0.05000000000000003,0.0008545918367346937
direct_gmax,0.3673469387755102,208.77824212874626,0.10694424958040266,0.0003293424160861679,0.0008132752839417934,1.3673469387755115,0.050000000000000024,0.0008545918367346937
direct_gmax,0.4897959183673469,71.4063169905767,0.050096586606943355,0.0004101214894159253,0.0008814646706168578,1.489795918367348,0.05000000000000004,0.0009311224489795929
direct_gmax,0.4897959183673469,91.36775683568983,0.06745000216766918,0.00040270608903231756,0.000882934398926087,1.4897959183673468,0.049999999999999926,0.0009311224489795916
direct_gmax,0.4897959183673469,106.1935532458096,0.08628829512865648,0.0004168738260305861,0.0008880470371204184,1.4897959183673477,0.04999999999999999,0.0009311224489795917
direct_gmax,0.4897959183673469,117.7826105856144,0.09856746256162272,0.00039420431606465735,0.0008883074306072906,1.489795918367348,0.05000000000000004,0.0009311224489795925
direct_gmax,0.4897959183673469,127.92794631823324,0.10322008317756903,0.00039832262451293485,0.000887946106539296,1.489795918367348,0.050000000000000044,0.0009311224489795929
direct_gmax,0.4897959183673469,137.61598346386995,0.10906222392430305,0.0003897254277441527,0.0008883064499921833,1.489795918367348,0.05000000000000004,0.0009311224489795931
direct_gmax,0.4897959183673469,146.7850611153038,0.11209983804905398,0.00038866009577912707,0.0008866212946022303,1.4897959183673477,0.05000000000000004,0.0009311224489795932
direct_gmax,0.4897959183673469,155.7056806041777,0.10963320657713783,0.00040656771663008474,0.0008866517768193568,1.4897959183673477,0.05000000000000004,0.0009311224489795928
direct_gmax,0.4897959183673469,164.82700461923696,0.11648587244985707,0.00034889182775470125,0.000887132479279504,1.4897959183673475,0.05000000000000003,0.0009311224489795924
direct_gmax,0.4897959183673469,173.41173664698104,0.1091079642518171,0.00039381611871841814,0.0008872716971358943,1.4897959183673475,0.050000000000000044,0.0009311224489795931
direct_gmax,0.6122448979591837,54.30128321233196,0.07838905277751922,0.00044510053450434056,0.0009597725335168389,1.6122448979591864,0.04999999999999995,0.001007653061224489
