mode,control_gain,onset_failed,n_pre_intervals,mean_pre_frequency_hz,mean_pre_driver_frequency_hz,n_post_intervals,mean_post_frequency_hz,anchor_gain,anchor_target_alpha,anchor_target_g,si1_excitatory_g,compensated_direct_post_base_g,calibration_note,alpha1,beta1,s0_floor,alpham,betam,sm_floor,ca_shift_si2,ca_shift_si3,x_shift_si2,x_shift_si3,presynaptic_base_g,direct_post_base_g,presynaptic_base_alpha,postsynaptic_base_alpha,alphax,betax,si3_exc_floor,slow_inhib_g,slow_inhib_alpha,slow_inhib_beta,si2_mutual_inhib_g,si2_mutual_inhib_alpha,si2_mutual_inhib_beta,si_inhib_floor,si3_mutual_inhib_g,si3_mutual_inhib_alpha,si3_mutual_inhib_beta,t1_ms
presynaptic,2.9714285714285715,false,9,0.10134810311666359,3.685830237955237,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,3.2,false,9,0.11310950943845394,3.681933346782273,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,3.4285714285714284,false,9,0.12851373681274236,3.6829317295633794,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,3.657142857142857,false,9,0.12964356956054543,3.6872064775469147,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,3.8857142857142857,false,9,0.13075491921828195,3.678615347601205,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,4.114285714285714,false,9,0.14135699445145947,3.682470157366548,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,4.3428571428571425,false,9,0.13938292726040935,3.6733505437356353,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,4.571428571428571,false,9,0.1419797991299362,3.6914747773783407,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,4.8,false,9,0.14628007611000565,3.6905252376542776,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,5.0285714285714285,false,9,0.1549885982933056,3.668920793318435,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,5.257142857142857,false,9,0.1570650497221199,3.6756259258122643,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,5.485714285714286,false,9,0.15983141253885946,3.6799360255650098,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,5.714285714285714,false,9,0.16350124852460768,3.6873862651819564,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,5.942857142857143,false,9,0.1706854934642804,3.676986067328604,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,6.171428571428572,false,9,0.17750750735726772,3.687813345020276,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,6.4,false,9,0.16876233685973865,3.692549653756708,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,6.628571428571429,false,9,0.17051596585941636,3.6742761758015954,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,6.857142857142857,false,9,0.17894987141616323,3.6726352477510837,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,7.085714285714285,false,9,0.1706320386733606,3.6973733775162714,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,7.314285714285714,false,9,0.16946296041074993,3.68907692819474,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,7.542857142857143,false,9,0.17337217085395262,3.6763964574749415,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,7.771428571428571,false,9,0.17180770188867125,3.683115115953882,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,8.0,false,9,0.17502437736051046,3.672515401956469,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,0.0,false,9,0.061605782794949465,3.6778164209355566,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,0.22857142857142856,false,9,0.06519247414073173,3.6868768431164884,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,0.45714285714285713,false,9,0.06975744068310014,3.6788756159033422,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,0.6857142857142857,false,9,0.07179473987631457,3.6843369466603204,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,0.9142857142857143,false,9,0.07641674796159983,3.6812896323375117,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,1.1428571428571428,false,9,0.08155785419635334,3.684659573622249,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,1.3714285714285714,false,9,0.08474283468791344,3.6774446659415596,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,1.6,false,9,0.09290649408493813,3.6927862059041257,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,1.8285714285714285,false,9,0.09133316726675735,3.6766524723582705,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,2.057142857142857,false,9,0.09710966140336773,3.682445396122819,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,2.2857142857142856,false,9,0.10165548194075268,3.6772063207488404,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,2.5142857142857142,false,9,0.10291190795182865,3.6842842199808743,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,2.742857142857143,false,9,0.10494195158440446,3.6863396545131186,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,2.9714285714285715,false,9,0.11061468250684102,3.6824067368895754,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,3.2,false,9,0.11337501711621661,3.6753464142623593,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,3.4285714285714284,false,9,0.12896741800910386,3.6771261796538375,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,3.657142857142857,false,9,0.13579959570283986,3.6777765798800552,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,3.8857142857142857,false,9,0.14169039042779474,3.6839501511226627,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,4.114285714285714,false,9,0.1287898801735886,3.6740476948029674,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,4.3428571428571425,false,9,0.12815175854189956,3.6809319605825355,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,4.571428571428571,false,9,0.12244126424653848,3.6864885228173856,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
